LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,G,GS,INN,BallsInZone,MissedBallsInZone,OutsOutOfZone,CBlockingRuns,CFramingRuns,Cera
Feliz,Neftali,491703,"Feliz Neftali",18,MIL,1,1,3,0,1.200000,,,,,,
Cedeno,Xavier,458584,"Cedeno Xavier",36,TB,1,1,3,0,0.200000,0,0,0,,,
Colon,Bartolo,112526,"Colon Bartolo",375,ATL,1,1,1,1,6.000000,0,0,0,,,
Sabathia,Carsten,282332,"Sabathia CC",404,NYA,1,1,2,2,11.000000,0,0,3,,,
Rodney,Fernando,407845,"Rodney Fernando",494,ARI,1,1,3,0,3.000000,0,0,0,,,
Grilli,Jason,276351,"Grilli Jason",521,TOR,1,1,3,0,2.200000,0,0,0,,,
Beltran,Carlos,136860,"Beltran Carlos",589,HOU,1,7,1,1,7.000000,0,0,0,,,
Frazier,Todd,453943,"Frazier Todd",785,CHA,1,5,5,5,45.000000,16,3,0,,,
Phillips,Brandon,408252,"Phillips Brandon",791,ATL,1,4,6,6,53.000000,11,4,2,,,
Arroyo,Bronson,276520,"Arroyo Bronson",978,CIN,1,1,1,1,4.000000,0,0,0,,,
Suzuki,Ichiro,400085,"Suzuki Ichiro",1101,MIA,1,9,1,0,1.000000,0,0,1,,,
Estrada,Marco,462136,"Estrada Marco",1118,TOR,1,1,2,2,11.000000,0,0,2,,,
Hunter,Raymond Thomas,488984,"Hunter Tommy",1157,TB,1,1,4,0,3.200000,0,0,0,,,
Romine,Andrew James,461865,"Romine Andrew",1159,DET,1,3,1,0,2.000000,,,,,,
Romine,Andrew James,461865,"Romine Andrew",1159,DET,1,8,1,1,9.000000,1,1,2,,,
Dickey,R.A.,285079,"Dickey R.A.",1245,ATL,1,1,1,1,5.200000,0,0,1,,,
Bush,Matt,456713,"Bush Matt",1246,TEX,1,1,3,0,3.200000,0,0,0,,,
Ottavino,Adam,493603,"Ottavino Adam",1247,COL,1,1,4,0,3.200000,0,0,1,,,
Werth,Jayson,150029,"Werth Jayson",1327,WAS,1,7,6,6,50.200000,10,0,3,,,
Wood,Blake,502028,"Wood Blake",1345,CIN,1,1,3,0,4.000000,0,0,0,,,
Bailey,Andrew,457732,"Bailey Andrew",1368,LAA,1,1,3,0,3.000000,,,,,,
Benoit,Joaquin,276542,"Benoit Joaquin",1437,PHI,1,1,3,0,3.000000,0,0,0,,,
Lackey,John,407793,"Lackey John",1507,CHN,1,1,1,1,6.000000,0,0,0,,,
Perez,Oliver,424144,"Perez Oliver",1514,WAS,1,1,2,0,2.100000,0,0,0,,,
Doolittle,Sean,448281,"Doolittle Sean",1581,OAK,1,1,2,0,1.200000,0,0,0,,,
Rodriguez,Francisco,408061,"Rodriguez Francisco",1642,DET,1,1,2,0,2.100000,0,0,0,,,
Utley,Chase,400284,"Utley Chase",1679,LAN,1,4,2,2,17.000000,3,0,1,,,
Reyes,Jose,408314,"Reyes Jose",1736,NYN,1,5,6,5,50.200000,11,3,1,,,
Reyes,Jose,408314,"Reyes Jose",1736,NYN,1,6,1,0,0.100000,,,,,,
Peralta,Jhonny,425509,"Peralta Jhonny",1738,STL,1,5,4,4,34.100000,6,2,4,,,
Cabrera,Miguel,408234,"Cabrera Miguel",1744,DET,1,3,5,5,42.000000,8,2,1,,,
Belisle,Matt,279571,"Belisle Matt",1837,MIN,1,1,4,0,3.100000,0,0,0,,,
Weeks Jr.,Rickie,430001,"Weeks Jr. Rickie",1849,TB,1,3,2,2,15.000000,2,0,0,,,
Madson,Ryan,425492,"Madson Ryan",1852,OAK,1,1,3,0,2.100000,0,0,0,,,
Mauer,Joe,408045,"Mauer Joe",1857,MIN,1,3,5,5,43.000000,7,0,1,,,
Bautista,Jose,430832,"Bautista Jose",1887,TOR,1,9,6,6,54.100000,10,1,4,,,
Moore,Matthew Cody,519043,"Moore Matt",1890,SF,1,1,1,1,5.100000,0,0,2,,,
Blanco,Andres,433217,"Blanco Andres",1907,PHI,1,6,1,0,3.000000,1,1,0,,,
Gonzalez,Adrian,408236,"Gonzalez Adrian",1908,LAN,1,3,7,6,53.000000,7,2,0,,,
Greinke,Zack,425844,"Greinke Zack",1943,ARI,1,1,2,2,11.200000,0,0,0,,,
Nova,Ivan,467100,"Nova Ivan",1994,PIT,1,1,1,1,6.000000,0,0,0,,,
Kershaw,Clayton,477132,"Kershaw Clayton",2036,LAN,1,1,2,2,13.000000,0,0,1,,,
de la Rosa,Jorge,407822,"de la Rosa Jorge",2047,ARI,1,1,4,0,3.000000,0,0,0,,,
Guthrie,Jeremy,425386,"Guthrie Jeremy",2072,WAS,1,1,1,1,0.200000,0,0,0,,,
Peralta,Senger David,444482,"Peralta David",2136,ARI,1,9,6,6,53.000000,11,0,3,,,
Encarnacion,Edwin,429665,"Encarnacion Edwin",2151,CLE,1,3,5,5,42.000000,14,5,0,,,
Wainwright,Adam,425794,"Wainwright Adam",2233,STL,1,1,1,1,5.000000,0,0,0,,,
Rondon,Hector,444468,"Rondon Hector",2391,CHN,1,1,3,0,2.200000,,,,,,
Santana,Carlos,467793,"Santana Carlos",2396,CLE,1,3,1,1,9.000000,0,0,0,,,
Santana,Carlos,467793,"Santana Carlos",2396,CLE,1,9,3,3,24.000000,6,3,0,,,
Kluber,Corey,446372,"Kluber Corey",2429,CLE,1,1,2,2,12.000000,0,0,0,,,
Barney,Darwin,446381,"Barney Darwin",2430,TOR,1,4,1,1,9.000000,5,2,0,,,
Barney,Darwin,446381,"Barney Darwin",2430,TOR,1,7,1,0,2.000000,0,0,0,,,
Duda,Lucas,446263,"Duda Lucas",2502,NYN,1,3,4,4,39.000000,5,0,1,,,
Lynn,Michael,458681,"Lynn Lance",2520,STL,1,1,1,1,5.100000,0,0,0,,,
Alonso,Yonder,475174,"Alonso Yonder",2530,OAK,1,3,6,5,47.000000,6,3,0,,,
Kozma,Peter,518902,"Kozma Pete",2539,NYA,1,6,3,0,6.000000,2,2,1,,,
Bourjos,Peter,488721,"Bourjos Peter",2578,TB,1,7,2,2,17.000000,4,1,2,,,
Bourjos,Peter,488721,"Bourjos Peter",2578,TB,1,8,1,0,2.000000,0,0,0,,,
Ruiz,Carlos Joaquin,434563,"Ruiz Carlos",2579,SEA,1,2,2,2,16.200000,,,,0,0,6.48
Chacin,Jhoulys,468504,"Chacin Jhoulys",2608,SD,1,1,2,2,10.000000,0,0,2,,,
Cozart,Zachary,446359,"Cozart Zack",2616,CIN,1,6,6,6,51.000000,13,5,1,,,
Guyer,Brandon,446386,"Guyer Brandon",2636,CLE,1,7,2,2,14.000000,1,0,1,,,
Guyer,Brandon,446386,"Guyer Brandon",2636,CLE,1,9,1,1,7.000000,1,0,0,,,
Cecil,Brett,446399,"Cecil Brett",2660,STL,1,1,3,0,2.000000,0,0,0,,,
Porcello,Rick,519144,"Porcello Rick",2717,BOS,1,1,2,2,12.100000,0,0,1,,,
Pina,Manuel,444489,"Pina Manny",2829,MIL,1,2,3,2,23.000000,,,,0,0,0.78
Marrero,Chris,502029,"Marrero Chris",2852,SF,1,7,4,3,18.200000,2,0,0,,,
Casilla,Jairo,433586,"Casilla Santiago",2873,OAK,1,1,3,0,3.000000,,,,,,
Avilan,Luis Armando,501593,"Avilan Luis",2882,LAN,1,1,3,0,3.200000,0,0,0,,,
McAllister,Zachary,502083,"McAllister Zach",2895,CLE,1,1,2,0,2.100000,0,0,0,,,
Perez,Roberto,547379,"Perez Roberto",2900,CLE,1,2,2,2,14.000000,,,,0,0,9.64
Napoli,Michael,435063,"Napoli Mike",3057,TEX,1,3,5,5,45.000000,5,2,2,,,
Moreland,Mitchell,519048,"Moreland Mitch",3086,BOS,1,3,5,5,46.000000,3,0,1,,,
Jansen,Kenley,445276,"Jansen Kenley",3096,LAN,1,1,2,0,2.000000,0,0,0,,,
Watson,Anthony,453265,"Watson Tony",3132,PIT,1,1,3,0,3.000000,0,0,0,,,
Scherzer,Max,453286,"Scherzer Max",3137,WAS,1,1,1,1,6.200000,0,0,0,,,
Chirinos,Robinson,455139,"Chirinos Robinson",3142,TEX,1,2,2,2,18.000000,,,,0,1,2.50
Choo,Shin-Soo,425783,"Choo Shin-Soo",3174,TEX,1,9,1,1,7.000000,1,0,1,,,
Harris,William,501789,"Harris Will",3192,HOU,1,1,3,0,3.000000,0,0,1,,,
Young,Christopher,432934,"Young Chris",3196,KC,1,1,2,0,2.100000,0,0,0,,,
Santana,Ervin,429722,"Santana Ervin",3200,MIN,1,1,2,2,13.000000,0,0,0,,,
Liriano,Francisco,434538,"Liriano Francisco",3201,TOR,1,1,1,1,0.100000,0,0,0,,,
Britton,Zachary Grant,502154,"Britton Zach",3240,BAL,1,1,4,0,5.000000,0,0,1,,,
Samardzija,Jeffrey Alan,502188,"Samardzija Jeff",3254,SF,1,1,1,1,5.100000,0,0,0,,,
Gutierrez,Franklin,429711,"Gutierrez Franklin",3255,LAN,1,7,5,3,27.000000,4,0,3,,,
Castillo,Welington,456078,"Castillo Welington",3256,BAL,1,2,4,4,38.000000,,,,0,0,2.84
Cano,Robinson,429664,"Cano Robinson",3269,SEA,1,4,7,7,62.100000,10,3,2,,,
Smith,Joseph Michael,501925,"Smith Joe",3281,TOR,1,1,3,0,3.000000,0,0,0,,,
Sanchez,Anibal,434671,"Sanchez Anibal",3284,DET,1,1,2,0,4.200000,0,0,0,,,
Hatcher,David,501822,"Hatcher Chris",3299,LAN,1,1,3,0,5.000000,0,0,1,,,
O'Day,Darren,503285,"O'Day Darren",3321,BAL,1,1,2,0,2.000000,0,0,0,,,
Joyce,Matthew,459964,"Joyce Matt",3353,OAK,1,9,6,5,43.000000,3,0,3,,,
Montero,Miguel,471083,"Montero Miguel",3364,CHN,1,2,2,2,18.000000,,,,0,0,3.50
Jimenez,Ubaldo,434622,"Jimenez Ubaldo",3374,BAL,1,1,1,1,4.100000,0,0,0,,,
Hundley,Nicholas,460026,"Hundley Nick",3376,SF,1,2,1,1,8.000000,,,,0,0,7.88
Pennington,Clifton,460060,"Pennington Cliff",3395,LAA,1,4,1,1,8.000000,1,0,0,,,
Pennington,Clifton,460060,"Pennington Cliff",3395,LAA,1,6,1,0,1.000000,0,0,1,,,
Diaz,Jose,471822,"Diaz Jumbo",3397,TB,1,1,4,0,4.100000,0,0,0,,,
Braun,Ryan,460075,"Braun Ryan",3410,MIL,1,7,5,5,47.000000,7,0,2,,,
Butera,Andrew,460077,"Butera Drew",3411,KC,1,2,1,1,9.000000,,,,0,0,3.00
Mathis,Jeffery,425772,"Mathis Jeff",3448,ARI,1,2,4,4,36.000000,,,,0,1,4.00
Rizzo,Anthony Vincent,519203,"Rizzo Anthony",3473,CHN,1,3,6,6,55.000000,5,1,0,,,
Rizzo,Anthony Vincent,519203,"Rizzo Anthony",3473,CHN,1,7,1,0,0.000000,,,,,,
Hosmer,Eric John,543333,"Hosmer Eric",3516,KC,1,3,6,6,53.200000,3,0,0,,,
Tulowitzki,Troy,453064,"Tulowitzki Troy",3531,TOR,1,6,6,6,54.100000,18,2,4,,,
Duffy,Daniel,518633,"Duffy Danny",3542,KC,1,1,2,2,13.000000,0,0,1,,,
Buchholz,Clay,453329,"Buchholz Clay",3543,PHI,1,1,1,1,5.000000,0,0,0,,,
Hendriks,Liam,521230,"Hendriks Liam",3548,OAK,1,1,2,0,2.100000,,,,,,
Richard,Clayton,453385,"Richard Clayton",3551,SD,1,1,2,2,14.000000,0,0,2,,,
Barnette,Anthony,501817,"Barnette Tony",3555,TEX,1,1,3,0,3.000000,0,0,0,,,
Rivera,Rene,425784,"Rivera Rene",3648,NYN,1,2,3,3,25.000000,,,,0,0,2.88
Johnson,James,462382,"Johnson Jim",3656,ATL,1,1,2,0,3.000000,0,0,0,,,
Soto,Geovany,434567,"Soto Geovany",3707,CHA,1,2,4,3,29.000000,,,,0,0,2.17
Davis,Rajai,434658,"Davis Rajai",3708,OAK,1,8,7,7,61.000000,20,0,3,,,
Thames,Eric,519346,"Thames Eric",3711,MIL,1,3,3,3,24.200000,4,1,1,,,
Thames,Eric,519346,"Thames Eric",3711,MIL,1,7,2,1,11.200000,2,0,1,,,
Thames,Eric,519346,"Thames Eric",3711,MIL,1,9,1,1,6.100000,1,0,0,,,
Hardy,James,429666,"Hardy J.J.",3797,BAL,1,6,5,5,47.000000,12,2,0,,,
Nolasco,Carlos,445060,"Nolasco Ricky",3830,LAA,1,1,2,2,11.200000,0,0,1,,,
Stewart,Chris,455755,"Stewart Chris",3878,PIT,1,2,1,1,9.000000,,,,0,0,4.00
Young,Christopher,455759,"Young Chris",3882,BOS,1,9,3,3,28.000000,2,0,3,,,
Reddick,William,502210,"Reddick Josh",3892,HOU,1,7,4,1,14.000000,1,0,1,,,
Reddick,William,502210,"Reddick Josh",3892,HOU,1,9,5,4,36.000000,5,0,1,,,
Fien,Casey,502272,"Fien Casey",3926,SEA,1,1,4,0,3.200000,0,0,1,,,
Heisey,Chris,502317,"Heisey Chris",3978,WAS,1,7,1,0,3.000000,1,0,0,,,
Volquez,Edinson,450172,"Volquez Edinson",3990,MIA,1,1,2,2,11.000000,0,0,1,,,
Romero,Enny Manuel,544836,"Romero Enny",4001,WAS,1,1,3,0,2.100000,0,0,0,,,
Petit,Yusmeiro,433589,"Petit Yusmeiro",4020,LAA,1,1,2,0,3.000000,0,0,0,,,
Cabrera,Melky,466320,"Cabrera Melky",4022,CHA,1,7,5,5,43.000000,9,0,3,,,
Santiago,Phil Felipe,502327,"Santiago Hector",4026,MIN,1,1,1,1,5.000000,0,0,0,,,
Fowler,Dexter,451594,"Fowler Dexter",4062,STL,1,8,6,6,52.000000,10,0,3,,,
Recker,Anthony,489232,"Recker Anthony",4063,ATL,1,2,1,0,1.000000,,,,0,0,0.00
Strop,Pedro,467008,"Strop Pedro",4070,CHN,1,1,4,0,3.100000,,,,,,
Tazawa,Junichi,547749,"Tazawa Junichi",4079,MIA,1,1,3,0,2.000000,0,0,0,,,
Aybar,Erick,430947,"Aybar Erick",4082,SD,1,6,7,6,49.000000,15,6,4,,,
