GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,,
4/18/2016,Archie,Bradley,ARI,-0.10,,,,,,,,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,,,,,,,,
4/22/2016,Patrick,Corbin,ARI,1.26,,,,,,,,,2,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,1,0,,,,,,,,
4/24/2016,Phil,Gosselin,ARI,0.61,,,,,,,,,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,,,,,,,,
4/30/2016,Zack,Greinke,ARI,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/21/2016,Tyler Joseph,Wagner,ARI,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/24/2016,Aaron,Blair,ATL,-0.18,,,,,,,,,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/29/2016,Aaron,Blair,ATL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/4/2016,Jeff,Francoeur,ATL,0.08,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,1,,,,,,,,
4/15/2016,Jeff,Francoeur,ATL,-0.96,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,0,2,,,,,,,,
4/24/2016,Jeff,Francoeur,ATL,0.21,,,,,,,,,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,1,,,,,,,,
4/10/2016,Kelly,Johnson,ATL,0.21,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,1,1,,,,,,,,
4/15/2016,Kelly,Johnson,ATL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/4/2016,Jace Ryan,Peterson,ATL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,2,,,,,,,,
4/25/2016,Jace,Peterson,ATL,-1.10,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,0,2,,,,,,,,
4/15/2016,Anthony,Pierzynski,ATL,0.08,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,1,,,,,,,,
4/25/2016,Julio,Teheran,ATL,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/6/2016,Travis,Shaw,BOS,0.21,,,,,,,,,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,1,,,,,,,,
4/11/2016,Travis,Shaw,BOS,-0.20,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,,0,2,,,,,,,,
