GameDate,FirstName,,LastName,PlayerName,Team,LW,X1,X2,X3,X4,X5,X6,X7,X8,IP,BFP,H,1B,2B,3B,HR,ER,SH,SF,HBP,BB,K,WP,BLK,IR,IRS,GB,FB,LD,POPU,SB,CS,PKO,OUT
4/29/16,Jake,Dalton,Barrett,Jake Barrett,ARI,0.9,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3
4/22/16,Silvino,,Bracho,Silvino Bracho,ARI,-1.8,,,,,,,,,0.1,5,3,2,1,0,0,2,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1
4/23/16,Enrique,,Burgos,Enrique Burgos,ARI,0.75,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
4/25/16,Enrique,,Burgos,Enrique Burgos,ARI,0.97,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
4/29/16,Enrique,,Burgos,Enrique Burgos,ARI,0.75,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
4/10/16,Matthew,,Buschmann,Matthew Buschmann,ARI,-0.29,,,,,,,,,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,2
4/14/16,Matthew,,Buschmann,Matthew Buschmann,ARI,0.75,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
4/16/16,Matthew,,Buschmann,Matthew Buschmann,ARI,0.57,,,,,,,,,2.1,8,1,0,0,0,1,1,0,0,0,0,3,0,0,3,0,3,1,1,0,0,0,0,7
4/30/16,Zac,Aaron,Curtis,Zac Curtis,ARI,0.25,,,,,,,,,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
4/18/16,Rubby,Carlos,de la Rosa,Rubby de la Rosa,ARI,0.64,,,,,,,,,1,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3
4/26/16,Randall,Enrique,Delgado,Randall Delgado,ARI,0.25,,,,,,,,,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
4/26/16,Keith,,Hessler,Keith Hessler,ARI,0.32,,,,,,,,,2,9,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,0,0,0,0,6
4/29/16,Keith,,Hessler,Keith Hessler,ARI,-1.9,,,,,,,,,1,8,3,1,2,0,0,3,0,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,3
4/30/16,Daniel,Clairborne,Hudson,Daniel Hudson,ARI,0.03,,,,,,,,,1,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,3
4/26/16,Dominic,Joseph,Leone,Dominic Leone,ARI,-2.45,,,,,,,,,1.2,9,4,2,1,0,1,3,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,4
4/27/16,Dominic,Joseph,Leone,Dominic Leone,ARI,0.57,,,,,,,,,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,3
4/21/16,Tyler,Joseph,Wagner,Tyler Wagner,ARI,2.65,,,,,,,,,5,16,2,2,0,0,0,0,0,0,0,0,1,0,0,3,1,7,5,3,2,0,0,0,14
4/30/16,Brad,,Ziegler,Brad Ziegler,ARI,-2.48,,,,,,,,,0.1,6,4,3,0,1,0,3,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,1
4/17/16,Hunter,Hunter,Cervenka,Hunter Cervenka,ATL,-0.33,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
4/27/16,John,Michael,Gant,John Gant,ATL,0.27,,,,,,,,,4.2,19,3,1,1,1,0,2,0,0,0,3,4,0,0,1,0,6,5,1,1,0,0,0,13
4/16/16,Jason,,Grilli,Jason Grilli,ATL,0.18,,,,,,,,,1,5,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,3
4/29/16,James,,Johnson,James Johnson,ATL,-1.34,,,,,,,,,0.1,4,2,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
4/23/16,Matt,Gates,Marksberry,Matt Marksberry,ATL,-0.56,,,,,,,,,0.2,4,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2
4/20/16,Eric,,O'Flaherty,Eric O'Flaherty,ATL,-1.4,,,,,,,,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
4/29/16,Eric,,O'Flaherty,Eric O'Flaherty,ATL,-0.46,,,,,,,,,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0
