"Date","Visit","Home","DH","Rain","Away_Score","Home_Score"
2017-04-05,"NYA","TB",NA,NA,4,2
2017-04-05,"SF","ARI",NA,NA,11,5
2017-04-05,"CHN","STL",NA,NA,0,4
2017-04-06,"TOR","BAL",NA,NA,0,2
2017-04-06,"PIT","BOS",NA,NA,0,2
2017-04-06,"DET","CHA",NA,"YES",NA,NA
2017-04-06,"CLE","TEX",NA,NA,8,3
2017-04-06,"SEA","HOU",NA,NA,0,4
2017-04-06,"KC","MIN",NA,NA,0,1
2017-04-06,"LAA","OAK",NA,NA,7,0
2017-04-06,"ATL","NYN",NA,NA,1,2
2017-04-06,"PHI","CIN",NA,NA,5,0
2017-04-06,"COL","MIL",NA,NA,2,7
2017-04-06,"SD","LAN",NA,NA,0,3
2017-04-06,"MIA","WAS",NA,NA,0,5
2017-04-07,"CLE","TEX",NA,NA,7,3
2017-04-07,"SEA","HOU",NA,NA,1,10
2017-04-07,"LAA","OAK",NA,NA,1,2
2017-04-07,"NYA","TB",NA,NA,7,3
2017-04-07,"SF","ARI",NA,NA,2,9
2017-04-07,"CHN","STL",NA,NA,0,2
2017-04-07,"COL","MIL",NA,NA,6,4
2017-04-07,"SD","LAN",NA,NA,10,11
2017-04-07,"DET","CHA",NA,NA,0,8
2017-04-08,"TOR","BAL",NA,NA,NA,NA
2017-04-08,"PIT","BOS",NA,NA,NA,NA
2017-04-08,"DET","CHA",NA,NA,NA,NA
2017-04-08,"CLE","TEX",NA,NA,NA,NA
2017-04-08,"SEA","HOU",NA,NA,NA,NA
2017-04-08,"KC","MIN",NA,NA,NA,NA
2017-04-08,"LAA","OAK",NA,NA,NA,NA
2017-04-08,"NYA","TB",NA,NA,NA,NA
2017-04-08,"SF","ARI",NA,NA,NA,NA
2017-04-08,"ATL","NYN",NA,NA,NA,NA
2017-04-08,"CHN","STL",NA,NA,NA,NA
2017-04-08,"PHI","CIN",NA,NA,NA,NA
2017-04-08,"COL","MIL",NA,NA,NA,NA
2017-04-08,"SD","LAN",NA,NA,NA,NA
2017-04-08,"MIA","WAS",NA,NA,NA,NA
2017-04-09,"PIT","BOS",NA,NA,NA,NA
2017-04-09,"DET","CHA",NA,NA,NA,NA
2017-04-09,"SEA","HOU",NA,NA,NA,NA
2017-04-09,"KC","MIN",NA,NA,NA,NA
2017-04-09,"LAA","OAK",NA,NA,NA,NA
2017-04-09,"TOR","TB",NA,NA,NA,NA
2017-04-09,"SF","ARI",NA,NA,NA,NA
2017-04-09,"ATL","NYN",NA,NA,NA,NA
2017-04-09,"PHI","CIN",NA,NA,NA,NA
2017-04-09,"COL","MIL",NA,NA,NA,NA
2017-04-09,"SD","LAN",NA,NA,NA,NA
2017-04-09,"MIA","WAS",NA,NA,NA,NA
2017-04-10,"NYA","BAL",NA,NA,NA,NA
