Role,fullname,Date,POS,Team,MLBId,Fielding.Petition
SP1,Felix Hernandez,2017-04-04,SP,NYA,433587,NO
SP2,Kenta Maeda,2017-04-08,SP,NYA,628317,NO
SP3,C.C. Sabathia,2017-04-05,SP,NYA,282332,NO
SP4,Chad Kuhl,2017-04-08,SP,NYA,641771,NO
SP5,Mike Fiers,2017-04-05,SP,NYA,571666,NO
CLOSER,Bruce Rondon,NA,RP,NYA,541652,NO
RP1,Edwin Diaz,NA,RP,NYA,621242,NO
RP2,Sean Doolittle,NA,RP,NYA,448281,NO
RP3,Adam Warren,NA,RP,NYA,476589,NO
RP4,David Robertson,NA,RP,NYA,502085,NO
RP5,Xavier Cedeno,NA,RP,NYA,458584,NO
RP6,Chaz Roe,NA,RP,NYA,475054,NO
RP7,Sergio Romo,NA,RP,NYA,489265,NO
#1,Yasiel Puig,NA,RF,NYA,624577,NO
#2,Joe Panik,NA,2B,NYA,605412,NO
#3,Brian McCann,NA,CA,NYA,435263,NO
#4,Aaron Judge,NA,LF,NYA,592450,NO
#5,Aledmys Diaz,NA,SS,NYA,649557,NO
#6,Brett Gardner,NA,CF,NYA,458731,NO
#7,Gregory Bird,NA,1B,NYA,595885,NO
#8,Jurickson Profar,NA,3B,NYA,595777,NO
#9,Carlos Beltran,NA,DH,NYA,136860,NO
Bench,Matt Adams,NA,1B,NYA,571431,NO
Bench,Jarrett Parker,NA,LF,NYA,592620,NO
Bench,Michael Taylor,NA,CF,NYA,572191,NO
SP1,Matt Moore,2017-04-08,SP,TB,519043,NO
SP2,Wade Miley,2017-04-05,SP,TB,489119,NO
SP3,Kyle Gibson,2017-04-07,SP,TB,502043,NO
SP4,Matt Andriese,2017-04-05,SP,TB,542882,NO
SP5,Jered Weaver,2017-04-05,SP,TB,450308,NO
CLOSER,Alex Colome,NA,RP,TB,517008,NO
RP1,Carl Edwards Jr.,NA,RP,TB,605218,NO
RP2,Ty Blach,NA,RP,TB,621389,NO
RP3,Josh Smoker,NA,RP,TB,519294,NO
RP4,Enny Romero,NA,RP,TB,544836,NO
RP5,Chase Whitley,NA,RP,TB,595032,NO
RP6,Andrew Bellatti,NA,RP,TB,571479,NO
#1,Corey Dickerson,NA,LF,TB,572816,NO
#2,Kevin Kiermaier,NA,CF,TB,595281,NO
#3,Evan Longoria,NA,3B,TB,446334,NO
#4,Brad Miller,NA,1B,TB,543543,NO
#5,Tim Beckham,NA,DH,TB,542921,NO
#6,Mikie Mahtook,NA,RF,TB,543484,NO
#7,Kolten Wong,NA,2B,TB,543939,NO
#8,Curt Casali,NA,CA,TB,592200,NO
#9,Erick Aybar,NA,SS,TB,430947,NO
Bench,Justin Smoak,NA,1B,TB,475253,NO
Bench,Austin Romine,NA,CA,TB,519222,NO
Bench,Nick Franklin,NA,1B,TB,545338,NO
Bench,Daniel Robertson,NA,LF,TB,543706,NO
SP1,Madison Bumgarner,2017-04-04,SP,SF,518516,NO
SP2,Johnny Cueto,2017-04-07,SP,SF,456501,NO
SP3,Jeff Samardzija,2017-04-05,SP,SF,502188,NO
SP4,Dan Straily,2017-04-08,SP,SF,573185,NO
SP5,Jose Berrios,2017-04-05,SP,SF,621244,NO
CLOSER,Mark Melancon,NA,RP,SF,453343,NO
RP1,Cory Gearrin,NA,RP,SF,518715,NO
RP2,Fernando Abad,NA,RP,SF,472551,NO
RP3,Joaquin Benoit,NA,RP,SF,276542,NO
RP4,Vidal Nuno,NA,RP,SF,573064,NO
RP5,Hansel Robles,NA,RP,SF,570663,NO
#1,Steven Souza,NA,RF,SF,519306,NO
#2,Brandon Belt,NA,1B,SF,474832,NO
#3,Brandon Crawford,NA,SS,SF,543063,NO
#4,Hunter Pence,NA,RF,SF,452254,NO
#5,Buster Posey,NA,CA,SF,457763,NO
#6,Jay Bruce,NA,LF,SF,457803,NO
#7,Brandon Phillips,NA,2B,SF,408252,NO
#8,Johnny Cueto,NA,P,SF,456501,NO
#9,Emilio Bonifacio,NA,3B,SF,466988,NO
Bench,Brock Holt,NA,3B,SF,571788,NO
Bench,Phil Gosselin,NA,1B,SF,594838,NO
Bench,Paulo Orlando,NA,RF,SF,449181,NO
Bench,Denard Span,NA,CF,SF,452655,NO
SP1,Carlos Martinez,2017-04-04,SP,STL,593372,NO
SP2,Lance Lynn,2017-04-08,SP,STL,458681,NO
SP3,Mike Leake,2017-04-05,SP,STL,502190,NO
SP4,Michael Wacha,2017-04-05,SP,STL,608379,NO
