"MLBId","SB","CS","X1B","BB","HBP","AB","HR","K","R","H","GDP","X3B","X2B"
112526,0,0,1,0,0,30,1,21,2,3,0,0,1
120074,2,0,40,46,1,289,21,42,41,96,12,1,34
121347,3,0,27,9,1,186,8,56,18,41,4,0,6
124604,0,0,0,0,0,0,0,0,0,0,0,0,0
134181,0,0,61,21,5,314,12,39,46,88,7,0,15
136860,0,0,50,17,2,293,19,59,45,87,10,0,18
150029,2,1,45,40,1,288,10,76,45,72,8,0,17
150229,1,0,27,4,2,172,0,22,10,34,8,0,7
150274,0,0,0,0,0,0,0,0,0,0,0,0,0
207267,0,0,0,0,0,0,0,0,0,0,0,0,0
234194,0,0,0,0,0,0,0,0,0,0,0,0,0
276351,0,0,0,0,0,0,0,0,0,0,0,0,0
276519,5,2,22,16,0,149,2,33,25,33,2,1,8
276520,0,0,0,0,0,0,0,0,0,0,0,0,0
276542,0,0,0,0,0,0,0,0,0,0,0,0,0
279571,0,0,0,0,0,1,0,1,0,0,0,0,0
279827,0,0,0,0,0,0,0,0,0,0,0,0,0
282332,0,0,0,0,0,0,0,0,0,0,0,0,0
285064,0,0,0,0,1,1,0,1,0,0,0,0,0
285078,0,0,0,0,0,0,0,0,0,0,0,0,0
285079,0,0,0,0,0,1,0,1,0,0,0,0,0
329092,0,0,0,0,0,0,0,0,0,0,0,0,0
346798,0,0,0,0,0,0,0,0,0,0,0,0,0
346847,0,0,0,0,0,0,0,0,0,0,0,0,0
346874,0,0,30,15,2,211,7,42,18,46,6,0,9
400085,7,2,47,21,0,164,0,15,25,55,2,1,7
400089,0,0,0,0,0,0,0,0,0,0,0,0,0
400121,0,0,64,21,2,307,17,47,38,95,9,0,14
400284,1,2,55,29,8,289,5,61,43,76,0,2,14
405395,4,0,57,37,1,331,15,42,34,83,13,0,11
407781,0,0,20,11,0,115,5,38,11,31,1,0,6
407793,0,0,4,2,0,40,0,21,1,4,0,0,0
407812,0,0,40,28,5,294,15,55,36,71,8,1,15
407819,0,0,0,0,0,0,0,0,0,0,0,0,0
407822,0,0,3,1,0,18,0,7,3,3,0,0,0
407845,0,0,0,0,0,0,0,0,0,0,0,0,0
407890,0,0,0,0,0,0,0,0,0,0,0,0,0
407893,1,0,27,23,1,213,7,63,21,40,2,0,6
407908,0,0,0,0,0,2,0,1,0,0,0,0,0
408045,1,0,64,49,1,305,7,59,40,82,4,2,9
408047,0,0,0,0,0,0,0,0,0,0,0,0,0
408061,0,0,0,0,0,0,0,0,0,0,0,0,0
408234,0,0,62,41,2,332,18,63,49,97,12,1,16
408236,0,0,67,40,2,309,6,64,32,89,12,0,16
408241,0,0,5,1,0,25,0,10,2,5,0,0,0
408252,5,6,60,13,6,316,6,44,39,82,10,1,15
408299,0,0,22,9,0,134,0,23,16,32,0,1,9
408307,0,1,12,4,1,81,0,11,8,15,3,1,2
408314,0,1,1,1,0,20,1,3,3,4,0,0,2
424144,0,0,1,0,0,3,0,0,1,2,0,0,1
424325,0,1,15,21,0,107,6,31,16,25,1,0,4
424825,5,4,38,25,0,272,7,42,38,67,4,3,19
425386,0,0,0,0,0,0,0,0,0,0,0,0,0
