"MLBId","G","GS","PO","A","E","POS"
112526,18,17,8,18,1,"P"
120074,0,0,0,0,0,"DH"
121347,0,0,0,0,0,"DH"
124604,0,0,0,0,0,"P"
134181,80,80,57,170,4,"3B"
136860,52,50,68,2,1,"DH"
150029,74,74,106,2,0,"LF"
150229,45,41,326,14,4,"C"
150274,0,0,0,0,0,"P"
207267,0,0,0,0,0,"P"
234194,0,0,0,0,0,"P"
276351,35,0,2,1,1,"P"
276519,35,34,47,86,2,"SS"
276520,0,0,0,0,0,"P"
276542,22,0,1,2,1,"P"
279571,17,0,1,2,0,"P"
279827,0,0,0,0,0,"C"
282332,14,14,0,11,2,"P"
285064,12,2,4,2,0,"P"
285078,0,0,0,0,0,"LF"
285079,18,18,2,16,1,"P"
329092,0,0,0,0,0,"P"
346798,0,0,0,0,0,"P"
346847,0,0,0,0,0,"P"
346874,60,60,39,116,7,"3B"
400085,34,29,62,5,0,"RF"
400089,0,0,0,0,0,"P"
400121,5,5,36,0,0,"DH"
400284,76,67,104,158,2,"2B"
405395,25,25,176,16,2,"DH"
407781,35,30,42,2,0,"RF"
407793,17,17,6,12,0,"P"
407812,70,69,122,7,0,"LF"
407819,13,0,0,0,0,"P"
407822,14,11,3,6,2,"P"
407845,33,0,0,6,1,"P"
407890,15,15,1,7,1,"P"
407893,57,55,481,28,3,"1B"
407908,31,0,1,2,0,"P"
408045,57,56,465,36,2,"1B"
408047,0,0,0,0,0,"DH"
408061,32,0,3,1,0,"P"
408234,79,79,658,60,3,"1B"
408236,83,80,631,45,1,"1B"
408241,17,17,3,7,1,"P"
408252,78,78,139,220,10,"2B"
408299,39,38,66,102,3,"2B"
408307,21,18,28,0,0,"LF"
408314,4,4,1,7,0,"3B"
424144,37,0,0,0,0,"P"
424325,40,33,293,30,7,"C"
424825,67,58,96,1,1,"LF"
425386,0,0,0,0,0,"P"
425426,26,0,0,2,0,"P"
425492,37,0,2,5,0,"P"
425509,23,23,14,47,2,"3B"
425532,0,0,0,0,0,"P"
425549,0,0,0,0,0,"SS"
425565,0,0,0,0,0,"C"
425626,16,0,0,1,1,"P"
425657,38,0,0,4,0,"P"
425664,0,0,0,0,0,"LF"
425766,36,36,267,29,3,"1B"
425772,21,20,170,19,0,"C"
425773,0,0,0,0,0,"1B"
425783,29,29,60,3,2,"RF"
425784,25,24,208,14,0,"C"
425794,18,18,9,16,0,"P"
425796,50,42,66,5,2,"LF"
425834,87,81,153,8,2,"LF"
425835,2,0,0,0,0,"P"
425840,0,0,0,0,0,"P"
425844,17,17,16,21,1,"P"
425856,28,0,0,2,0,"P"
425877,82,77,589,26,0,"C"
425900,52,47,378,24,4,"C"
425902,6,6,37,1,1,"DH"
429400,0,0,0,0,0,"P"
429664,85,84,147,225,2,"2B"
429665,27,27,231,8,2,"DH"
429666,40,40,58,106,4,"SS"
429667,48,46,351,22,7,"1B"
429711,43,30,56,0,0,"RF"
429719,8,0,1,1,0,"P"
429722,16,16,14,7,1,"P"
429780,6,0,0,1,0,"P"
430001,22,14,21,2,2,"LF"
430580,13,11,2,5,1,"P"
430589,35,0,1,1,1,"P"
430599,41,0,1,5,0,"P"
430603,2,2,14,5,0,"1B"
430605,35,31,35,2,1,"LF"
430634,0,0,0,0,0,"P"
430637,51,38,68,71,7,"3B"
430641,33,0,2,3,0,"P"
430652,0,0,0,0,0,"CF"
430661,26,0,3,3,0,"P"
430673,0,0,0,0,0,"P"
430832,63,61,96,4,1,"RF"
430895,0,0,0,0,0,"2B"
430897,0,0,0,0,0,"LF"
430910,3,2,13,1,1,"C"
430911,0,0,0,0,0,"P"
430912,11,11,4,10,1,"P"
430935,18,18,5,9,2,"P"
430945,81,79,191,3,2,"CF"
430947,66,61,69,162,7,"SS"
431094,80,72,70,149,2,"3B"
431145,74,66,527,31,1,"C"
431148,18,18,3,12,0,"P"
431151,36,36,23,58,4,"3B"
431162,0,0,0,0,0,"P"
431171,0,0,0,0,0,"3B"
432934,15,13,1,4,0,"P"
433217,52,25,62,65,4,"3B"
433579,4,4,1,3,0,"P"
433584,0,0,0,0,0,"P"
433586,36,0,0,2,0,"P"
433587,10,10,3,7,2,"P"
433589,22,1,0,0,0,"P"
434137,3,0,2,0,0,"P"
434158,75,75,149,3,0,"RF"
434378,18,18,5,15,1,"P"
434442,34,0,0,6,0,"P"
434538,17,17,1,9,1,"P"
434563,33,33,293,19,3,"C"
434567,19,17,112,6,0,"C"
434604,1,1,5,0,0,"1B"
434622,18,17,5,5,2,"P"
434628,17,17,11,19,1,"P"
434636,56,55,89,2,2,"LF"
434643,0,0,0,0,0,"P"
434658,88,66,146,7,4,"CF"
434665,0,0,0,0,0,"P"
434670,73,73,540,13,2,"1B"
434671,21,13,5,8,1,"P"
434672,0,0,0,0,0,"P"
434718,20,0,1,2,0,"P"
434778,7,7,22,0,0,"DH"
435041,0,0,0,0,0,"LF"
435043,43,0,1,9,0,"P"
435062,82,62,123,59,5,"LF"
435063,59,59,511,32,7,"1B"
435064,40,36,273,9,0,"C"
435079,83,82,172,230,4,"2B"
435180,0,0,0,0,0,"2B"
435220,0,0,0,0,0,"OF"
435221,1,1,0,1,0,"P"
435263,68,61,568,27,2,"C"
435400,20,0,1,4,0,"P"
435459,0,0,0,0,0,"C"
435522,78,77,128,217,5,"2B"
435559,57,55,411,17,3,"C"
435622,90,86,187,6,6,"1B"
435625,0,0,0,0,0,"RF"
443558,36,36,65,2,1,"DH"
444379,70,64,493,33,3,"1B"
444432,50,48,91,5,3,"RF"
444436,18,0,1,5,0,"P"
444468,30,0,5,3,0,"P"
444482,45,34,85,0,0,"RF"
444489,0,0,0,0,0,"C"
444520,15,0,0,2,0,"P"
444836,0,0,0,0,0,"P"
444843,0,0,0,0,0,"RF"
444857,21,5,2,7,1,"P"
444875,0,0,0,0,0,""
444876,86,86,117,215,10,"SS"
445055,66,64,149,4,0,"CF"
445060,17,17,5,13,1,"P"
445163,0,0,0,0,0,"P"
445170,0,0,0,0,0,"P"
445197,14,0,1,2,0,"P"
445213,25,0,3,9,0,"P"
445216,0,0,0,0,0,"P"
445276,38,0,2,1,1,"P"
445612,0,0,0,0,0,"P"
445926,32,0,1,2,0,"P"
445968,25,0,0,3,0,"P"
445988,79,75,38,130,3,"3B"
446044,0,0,0,0,0,""
446099,38,0,1,6,0,"P"
446192,0,0,0,0,0,"C"
446225,0,0,0,0,0,"C"
446263,38,34,270,21,1,"1B"
446308,60,55,432,25,4,"C"
446321,7,0,0,1,0,"P"
446334,80,80,52,160,5,"3B"
446359,72,72,127,204,9,"SS"
446372,18,18,13,10,1,"P"
446381,62,49,69,143,4,"2B"
446386,42,36,79,0,1,"LF"
446395,0,0,0,0,0,"CF"
446399,20,0,0,1,0,"P"
446481,89,31,161,65,2,"1B"
446488,0,0,0,0,0,"P"
446653,25,21,196,11,0,"C"
446899,36,0,1,8,1,"P"
447714,27,0,0,1,0,"P"
447755,7,0,1,0,0,"P"
448159,0,0,0,0,0,"P"
448170,0,0,0,0,0,"1B"
448178,33,0,0,1,0,"P"
448179,13,13,4,7,2,"P"
448281,35,0,0,5,0,"P"
448296,0,0,0,0,0,"2B"
448306,17,17,2,10,2,"P"
448602,77,69,640,53,4,"1B"
448605,1,1,4,0,0,"CF"
448609,34,0,1,2,1,"P"
448614,37,0,2,4,0,"P"
448801,83,83,731,35,4,"1B"
448802,17,17,2,14,1,"P"
448855,12,12,6,8,2,"P"
449079,0,0,0,0,0,"P"
449097,28,0,0,1,0,"P"
449104,31,0,2,2,0,"P"
449107,45,28,36,36,5,"SS"
449168,0,0,0,0,0,"LF"
449173,2,2,2,2,0,"P"
449181,57,51,93,4,2,"RF"
449786,0,0,0,0,0,"C"
450172,18,18,7,11,0,"P"
450203,4,4,1,2,0,"P"
450212,34,0,2,2,1,"P"
450275,32,0,2,3,0,"P"
450282,2,0,0,0,0,"P"
450306,0,0,0,0,0,"P"
450308,17,17,3,5,0,"P"
450314,86,79,122,166,2,"2B"
450315,0,0,0,0,0,"1B"
450317,0,0,0,0,0,"C"
450351,0,0,0,0,0,"P"
450641,0,0,0,0,0,"LF"
450665,6,6,2,2,0,"P"
450729,17,17,8,10,1,"P"
451085,7,0,0,0,0,"P"
451089,0,0,0,0,0,"LF"
451109,0,0,0,0,0,"C"
451584,30,0,1,4,0,"P"
451594,63,61,114,3,3,"CF"
451596,8,8,0,2,0,"P"
451661,15,0,2,0,0,"P"
451705,0,0,0,0,0,"C"
451713,0,0,0,0,0,"LF"
451775,34,0,1,0,0,"P"
451783,1,0,1,0,0,"P"
452035,0,0,0,0,0,"1B"
452061,0,0,0,0,0,"P"
452095,51,46,365,24,1,"C"
452096,0,0,0,0,0,""
452104,78,76,49,159,5,"3B"
452220,29,19,29,38,2,"2B"
452234,61,49,99,3,1,"RF"
452239,0,0,0,0,0,"CF"
452252,53,47,382,25,3,"1B"
452254,47,47,94,2,0,"RF"
452655,76,74,161,1,1,"CF"
452657,17,17,8,14,0,"P"
452666,24,0,2,2,0,"P"
452672,23,21,186,19,0,"C"
452678,81,80,106,208,3,"SS"
452718,0,0,0,0,0,"P"
452722,0,0,0,0,0,"C"
452733,7,0,0,0,0,"P"
453056,77,71,134,3,2,"CF"
453064,63,63,79,209,7,"SS"
453172,30,0,3,3,0,"P"
453178,17,17,2,3,0,"P"
453192,37,0,2,0,0,"P"
453203,35,18,57,1,0,"LF"
453211,23,12,30,0,0,"CF"
453214,17,17,5,22,2,"P"
453222,3,0,0,0,0,"P"
453249,28,0,0,2,0,"P"
453256,0,0,0,0,0,"C"
453265,38,0,2,2,0,"P"
453268,0,0,0,0,0,"P"
453269,0,0,0,0,0,"RF"
453281,3,3,0,2,0,"P"
453284,0,0,0,0,0,"P"
453286,18,18,7,10,0,"P"
453307,2,2,0,1,1,"P"
453311,4,4,1,1,0,"P"
453329,18,13,6,2,0,"P"
453343,39,0,6,3,0,"P"
453344,0,0,0,0,0,"P"
453385,22,0,0,5,0,"P"
453400,60,28,199,26,2,"1B"
453539,0,0,0,0,0,"LF"
453562,18,18,5,20,3,"P"
453568,71,69,147,2,3,"CF"
453646,34,0,1,4,0,"P"
453895,17,3,10,13,0,"SS"
453923,58,44,87,2,0,"RF"
453943,82,82,64,157,6,"3B"
454560,38,35,321,26,1,"C"
455009,37,0,3,5,0,"P"
455104,68,64,571,29,4,"C"
455117,22,18,145,10,2,"C"
455139,24,21,122,10,1,"C"
455369,15,9,12,22,2,"2B"
455374,34,0,1,3,1,"P"
455378,0,0,0,0,0,"C"
455755,29,23,178,10,2,"C"
