"FullName","MLBId","Team","Start","Relief","Rest_days"
"Fernando Abad","472551","SF",0,0,Inf
"A.J. Achter","592091","MIN",0,0,Inf
"Austin Adams","542866","LAA",0,0,Inf
"Timothy Adleman","534947","NYA",0,0,Inf
"Matt Albers","458006","FA",0,0,Inf
"Al Alburquerque","456379","MIA",0,0,Inf
"Scott Alexander","518397","STL",0,0,Inf
"Cody Allen","592102","CHN",0,2,Inf
"Jose Alvarez","501625","LAA",0,2,1
"Alexi Amarista","506560","SD",0,0,Inf
"Cody Anderson","594736","SD",0,0,Inf
"Tyler Anderson","542881","COL",1,0,Inf
"Chase Anderson","502624","MIL",0,0,Inf
"Matt Andriese","542882","TB",1,0,Inf
"Dustin Antolin","542884","TOR",0,0,Inf
"Elvis Araujo","542587","PHI",0,0,Inf
"Chris Archer","502042","WAS",0,0,1
"Shawn Armstrong","542888","CLE",0,2,Inf
"Jake Arrieta","453562","MIA",1,0,Inf
"Luis Avilan","501593","LAN",0,1,0
"John Axford","446099","OAK",0,0,Inf
"Pedro Baez","520980","LAN",0,0,Inf
"Andrew Bailey","457732","PHI",0,1,1
"John Barbato","592127","MIN",0,0,Inf
"Johnny Barbato","592127","MIN",0,0,Inf
"Matt Barnes","598264","BOS",0,2,Inf
"Jacob Barnes","606930","MIL",0,1,0
"Tony Barnette","501817","TEX",0,1,1
"Kyle Barraclough","607457","CIN",0,2,1
"Jake Barrett","545332","ARI",0,0,Inf
"Chris Bassitt","605135","PIT",0,0,Inf
"Antonio Bastardo","455374","NYN",0,1,Inf
"Trevor Bauer","545333","CLE",0,0,Inf
"Cam Bedrosian","592135","LAA",0,1,Inf
"Matt Belisle","279571","BAL",0,3,1
"Joaquin Benoit","276542","SF",0,1,2
"Christian Bergman","548357","PIT",0,0,Inf
"Jose Berrios","621244","SF",0,0,Inf
"Dellin Betances","476454","TEX",0,0,0
"Christian Bethancourt","542194","SD",0,3,Inf
"Chad Bettis","518452","COL",0,0,Inf
"Joseph Biagini","607352","TOR",0,3,Inf
"Aaron Blair","594760","ATL",0,0,Inf
"Joe Blanton","430599","BAL",0,3,Inf
"Michael Blazek","518468","MIL",0,0,Inf
"Richard Bleier","542947","NYA",0,0,Inf
"Jerry Blevins","460283","NYN",0,3,Inf
"Mike Bolsinger","502211","LAN",0,0,Inf
"Wilfredo Boscan","517448","PIT",0,0,Inf
"Buddy Boshers","542953","BAL",0,0,Inf
"Matthew Bowman","621199","STL",0,3,Inf
"Brad Boxberger","502202","TB",0,0,Inf
"Matt Boyd","571510","DET",0,0,0
"Blaine Boyer","430641","BAL",0,0,Inf
"Brad Brach","542960","BAL",0,3,Inf
"Silvino Bracho","611093","MIN",0,0,Inf
"Archie Bradley","605151","ARI",0,1,Inf
"Craig Breslow","444520","LAN",0,2,Inf
"Zach Britton","502154","BAL",0,2,1
"Mike Broadway","458678","SF",0,0,Inf
"Jonathan Broxton","455009","WAS",0,1,Inf
"Clay Buchholz","453329","ATL",0,0,Inf
"Ryan Buchter","488748","SD",0,2,Inf
"Madison Bumgarner","518516","SF",0,0,2
"Dylan Bundy","605164","SD",1,0,Inf
"Enrique Burgos","542609","ARI",0,0,Inf
"Matthew Buschmann","501936","ARI",0,0,Inf
"Matt Bush","456713","WAS",0,1,1
"Eddie Butler","572750","COL",0,0,Inf
"Trevor Cahill","502239","CLE",1,0,0
"Matt Cain","430912","SD",1,0,Inf
"Arquimedes Caminero","491708","PIT",0,0,Inf
"Leonel Campos","599998","TB",0,0,Inf
"Chris Capuano","425626","CHA",0,0,Inf
"Carlos Carrasco","471911","CLE",0,0,0
"Scott Carroll","453222","BAL",0,0,Inf
"Andrew Cashner","488768","WAS",0,0,Inf
"Santiago Casilla","433586","CLE",0,3,Inf
"Miguel Castro","612434","MIA",0,0,Inf
"Brett Cecil","446399","STL",0,2,2
"Xavier Cedeno","458584","NYA",0,1,0
"Hunter Cervenka","543017","ATL",0,0,Inf
"Luis Cessa","570666","NYA",0,0,Inf
"Jhoulys Chacin","468504","CIN",0,0,1
"Jhoulys Chacin","468504","CIN",0,0,1
"Andrew Chafin","605177","ARI",0,1,0
"Joba Chamberlain","501955","SD",0,0,Inf
"Aroldis Chapman","547973","MIA",0,1,Inf
"J.T. Chargois","608638","ATL",0,0,Inf
"Tyler Chatwood","543022","COL",0,0,0
"Jesse Chavez","445926","BAL",1,0,Inf
"Wei-Yin Chen","612672","MIA",1,0,Inf
"Tony Cingrani","571561","CHA",0,2,Inf
"Steve Cishek","518553","SEA",0,0,Inf
"Alex Claudio","592222","TEX",0,2,0
"Michael Clevinger","605182","COL",0,0,Inf
"Tyler Clippard","461325","ARI",0,1,2
"Phil Coke","457435","NYA",0,0,Inf
"Gerrit Cole","543037","CHN",0,0,0
"Louis Coleman","488786","LAN",0,0,Inf
"Josh Collmenter","518567","ARI",0,1,Inf
"Alex Colome","517008","TB",0,3,Inf
"Bartolo Colon","112526","CHA",0,0,0
"Adam Conley","543045","HOU",0,0,Inf
"Patrick Corbin","571578","ARI",1,0,Inf
"Jarred Cosart","543054","BAL",0,2,Inf
"Caleb Cotham","571584","ARI",0,0,Inf
"Daniel Coulombe","543056","OAK",0,0,0
"Tyler Cravy","572788","MIL",0,0,Inf
"Kyle Crockett","641490","COL",0,0,Inf
"Johnny Cueto","456501","SF",0,0,0
"William Cuevas","571035","BOS",0,0,Inf
"Zac Curtis","657205","ARI",0,0,Inf
"Justin Wilson","458677","DET",0,2,Inf
"Tyler Danish","641501","PIT",0,0,Inf
"John Danks","433579","FA",0,0,Inf
"Yu Darvish","506433","TEX",0,0,1
"Zachary Davies","605200","MIL",0,0,Inf
"Wade Davis","451584","ATL",0,3,Inf
"Rubby de la Rosa","523989","ARI",0,0,Inf
"Jorge de la Rosa","407822","COL",0,4,Inf
"Pat Dean","534737","MIN",0,0,Inf
"Jacob deGrom","594798","NYN",1,0,Inf
"Steve Delabar","447755","CIN",0,0,Inf
"Randall Delgado","517414","ARI",0,4,Inf
"Anthony DeSclafani","543101","CIN",0,0,Inf
"Ross Detwiler","446321","BAL",0,0,Inf
"Christopher Devenski","606965","HOU",0,1,Inf
"Scott Diamond","539438","TOR",0,0,Inf
"Jumbo Diaz","471822","CHA",0,2,0
"Dayan Diaz","500765","BAL",0,0,Inf
"Edwin Diaz","621242","NYA",0,2,0
"R.A. Dickey","285079","CHA",0,0,Inf
"Jake Diekman","518617","ATL",0,0,Inf
"Sean Doolittle","448281","NYA",0,2,2
"Felix Doubront","467094","ARI",0,0,Inf
"Kyle Drabek","475138","ARI",0,0,Inf
"Oliver Drake","543118","LAA",0,1,0
"Brian Duensing","488846","CHN",0,0,Inf
"Tyler Duffey","608648","MIN",0,2,Inf
"Danny Duffy","518633","KC",0,0,1
"Zach Duke","435043","KC",0,0,Inf
"Ryan Dull","623430","SD",0,1,1
"Mike Dunn","445197","DET",0,3,0
"Sam Dyson","473879","TEX",0,1,1
"Carl Edwards Jr.","605218","TB",0,3,Inf
"Cody Ege","643297","STL",0,0,Inf
"Jerad Eickhoff","595191","PHI",0,0,1
"Roenis Elias","606273","BOS",0,0,Inf
"Brian Ellington","623395","COL",0,0,0
"Nathan Eovaldi","543135","PIT",0,0,Inf
"Robbie Erlin","572362","SD",0,0,Inf
"Edwin Escobar","546276","OAK",0,0,Inf
"Carlos Estevez","608032","MIA",0,5,1
"Marco Estrada","462136","TOR",0,0,1
"Dana Eveland","445968","PIT",0,0,Inf
"Jeurys Familia","544727","NYA",0,0,Inf
"Buck Farmer","571656","DET",0,0,Inf
"Danny Farquhar","543144","TOR",0,3,1
"Andrew Faulkner","605226","TEX",0,0,Inf
"Scott Feldman","444857","HOU",1,0,Inf
"Michael Feliz","593140","ARI",0,3,Inf
"Neftali Feliz","491703","CLE",0,4,Inf
"Jose Fernandez","605228","MIA",0,0,Inf
"Josh Fields","451661","TEX",0,1,Inf
"Casey Fien","502272","ARI",0,3,Inf
"Casey Fien","502272","ARI",0,3,Inf
"Mike Fiers","571666","NYA",1,0,Inf
"Brandon Finnegan","605232","CIN",1,0,Inf
"Doug Fister","450729","SF",0,0,Inf
"Kendry Flores","572309","COL",0,0,Inf
"Gavin Floyd","425856","CLE",0,0,Inf
"Brian Flynn","543169","CIN",0,0,Inf
"Mike Foltynewicz","592314","ATL",1,0,Inf
"Sam Freeman","518693","MIL",0,0,Inf
"Christian Friedrich","543184","BAL",0,0,Inf
"Michael Fulmer","605242","DET",1,0,Inf
