"GameDate","FirstName","LastName","POS","fullname","MLBId","date_played"
NA,NA,NA,NA,NA,NA,NA
"2017-04-02","Jon","Lester","SP","Jon Lester","452657",2017-04-05
"2017-04-02","Pedro","Strop","RP","Pedro Strop","467008",2017-04-05
"2017-04-03","David","Phelps","RP","David Phelps","475479",2017-04-05
"2017-04-02","Carlos","Martinez","SP","Carlos Martinez","593372",2017-04-05
"2017-04-04","Brett","Cecil","RP","Brett Cecil","446399",2017-04-05
"2017-04-04","Kevin","Siegrist","RP","Kevin Siegrist","543779",2017-04-05
"4/3/2017","Felix","Hernandez","SP","Felix Hernandez","433587",2017-04-05
"4/2/2017","Adam","Warren","RP","Adam Warren","476589",2017-04-05
"4/3/2017","Sean","Doolittle","RP","Sean Doolittle","448281",2017-04-05
"6/17/2016","Bruce","Rondon","RP","Bruce Rondon","541652",2017-04-05
"","Matt","Moore","SP","Matt Moore","519043",2017-04-05
"","Enny","Romero","RP","Enny Romero","544836",2017-04-05
"4/2/2017","Ty","Blach","RP","Ty Blach","621389",2017-04-05
"2017-04-02","Madison","Bumgarner","SP","Madison Bumgarner","518516",2017-04-05
"2017-04-03","Joaquin","Benoit","RP","Joaquin Benoit","276542",2017-04-05
"2017-04-03","Hansel","Robles","RP","Hansel Robles","570663",2017-04-05
"2017-04-02","Zack","Greinke","SP","Zack Greinke","425844",2017-04-05
"2017-04-04","Liam","Hendriks","RP","Liam Hendriks","521230",2017-04-05
"2017-04-02","Andrew","Chafin","RP","Andrew Chafin","605177",2017-04-05
"2017-04-03","Fernando","Salas","RP","Fernando Salas","477569",2017-04-05
"2017-04-04","Tyler","Clippard","RP","Tyler Clippard","461325",2017-04-05
"2017-04-05","Jharel","Cotton","SP","Jharel Cotton","605194",2017-04-06
"2017-04-05","Ian","Krol","RP","Ian Krol","571871",2017-04-06
"2017-04-05","Arodys","Vizcaino","RP","Arodys Vizcaino","527055",2017-04-06
"2017-04-05","Pat","Neshek","RP","Pat Neshek","450212",2017-04-06
"2017-04-04","Brad","Hand","RP","Brad Hand","543272",2017-04-06
"2017-04-03","Noah","Syndergaard","SP","Noah Syndergaard","592789",2017-04-06
"2017-04-05","Rafael","Montero","RP","Rafael Montero","606160",2017-04-06
"2017-04-02","Hunter","Strickland","RP","Hunter Strickland","519326",2017-04-06
"2017-04-05","Addison","Reed","RP","Addison Reed","592665",2017-04-06
"2017-04-03","Corey","Kluber","SP","Corey Kluber","446372",2017-04-06
"2017-04-05","Erasmo","Ramirez","RP","Erasmo Ramirez","541640",2017-04-06
"2017-04-05","Jim","Johnson","RP","Jim Johnson","462382",2017-04-06
"2017-04-03","Yu","Darvish","SP","Yu Darvish","506433",2017-04-06
"2017-04-03","Sam","Dyson","RP","Sam Dyson","473879",2017-04-06
"2017-04-05","Tony","Barnette","RP","Tony Barnette","501817",2017-04-06
"2017-04-05","Corey","Knebel","RP","Corey Knebel","608349",2017-04-06
"2017-04-03","Jon","Gray","SP","Jon Gray","592351",2017-04-06
"2017-04-05","Jordan","Lyles","RP","Jordan Lyles","543475",2017-04-06
"2017-04-03","Bud","Norris","RP","Bud Norris","502032",2017-04-06
"2017-04-05","A.J.","Ramos","RP","A.J. Ramos","573109",2017-04-06
"2017-04-03","Junior","Guerra","SP","Junior Guerra","448855",2017-04-06
"2017-04-04","Brent","Suter","RP","Brent Suter","608718",2017-04-06
"2017-04-05","Taylor","Jungmann","RP","Taylor Jungmann","543380",2017-04-06
"2017-04-05","Miguel","Diaz","RP","Miguel Diaz","622766",2017-04-06
"2017-04-05","Carlos","Torres","RP","Carlos Torres","448614",2017-04-06
"2017-04-03","Jacob","Barnes","RP","Jacob Barnes","606930",2017-04-06
"2017-04-03","Danny","Duffy","SP","Danny Duffy","518633",2017-04-06
"2017-04-04","George","Kontos","RP","George Kontos","502004",2017-04-06
"2017-04-03","Mike","Minor","RP","Mike Minor","501985",2017-04-06
"2017-04-03","Ervin","Santana","SP","Ervin Santana","429722",2017-04-06
"2017-04-05","Chasen","Shreve","RP","Chasen Shreve","592741",2017-04-06
"2017-04-03","Scott","Oberg","RP","Scott Oberg","623184",2017-04-06
"2017-04-05","Garrett","Richards","SP","Garrett Richards","572070",2017-04-06
"2016-05-06","Deolis","Guerra","RP","Deolis Guerra","500610",2017-04-06
"2016-07-05","Oliver","Drake","RP","Oliver Drake","543118",2017-04-06
"2017-04-05","Jose","Alvarez","RP","Jose Alvarez","501625",2017-04-06
"2016-05-16","Michael","Ynoa","RP","Michael Ynoa","573589",2017-04-06
"2017-04-04","Jake","McGee","RP","Jake McGee","459429",2017-04-06
"2017-04-05","Rich","Hill","SP","Rich Hill","448179",2017-04-06
"2017-04-05","Daniel","Coulombe","RP","Daniel Coulombe","543056",2017-04-06
"2017-04-04","Ryan","Madson","RP","Ryan Madson","425492",2017-04-06
"2017-04-04","Dario","Alvarez","RP","Dario Alvarez","516714",2017-04-06
"2017-04-04","Justin","Verlander","SP","Justin Verlander","434378",2017-04-06
"2016-04-12","Carlos","Estevez","RP","Carlos Estevez","608032",2017-04-06
"2017-04-04","Derek","Law","RP","Derek Law","571882",2017-04-06
"2017-04-02","Chris","Archer","SP","Chris Archer","502042",2017-04-06
"2017-04-05","Matt","Bush","RP","Matt Bush","456713",2017-04-06
"2017-04-03","Daniel","Hudson","RP","Daniel Hudson","543339",2017-04-06
"2017-04-05","Jerad","Eickhoff","SP","Jerad Eickhoff","595191",2017-04-06
"2017-04-04","Andrew","Bailey","RP","Andrew Bailey","457732",2017-04-06
"2017-04-03","Hector","Neris","RP","Hector Neris","593576",2017-04-06
"2017-04-04","Bryan","Shaw","RP","Bryan Shaw","543766",2017-04-06
"2017-04-03","Jhoulys","Chacin","SP","Jhoulys Chacin","468504",2017-04-06
"2016-06-01","Robert","Stephenson","RP","Robert Stephenson","596112",2017-04-06
"2017-04-05","Kyle","Barraclough","RP","Kyle Barraclough","607457",2017-04-06
"2017-04-05","Michael","Lorenzen","RP","Michael Lorenzen","547179",2017-04-06
"2017-04-05","Tony","Sipp","RP","Tony Sipp","448609",2017-04-06
"2017-04-05","Jameson","Taillon","SP","Jameson Taillon","592791",2017-04-06
