LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,G,GS,INN,CBlockingRuns,CFramingRuns,Cera
Romine,Andrew James,461865,Romine Andrew,1159,Tigers,1,2,1,0,0.1,0,0,27.00
Ramos,Wilson,467092,Ramos Wilson,1433,Rays,1,2,62,57,499.2,-4,1,3.78
Ruiz,Carlos Joaquin,434563,Ruiz Carlos,2579,Mariners,1,2,47,40,350.1,0,-6,4.75
Pina,Manuel,444489,Pina Manny,2829,Brewers,1,2,102,83,760.1,2,1,3.80
Perez,Roberto,547379,Perez Roberto,2900,Indians,1,2,71,66,580.2,2,8,3.22
Chirinos,Robinson,455139,Chirinos Robinson,3142,Rangers,1,2,85,80,691.1,4,-2,4.62
Castillo,Welington,456078,Castillo Welington,3256,Orioles,1,2,88,86,753.1,2,-6,5.62
Montero,Miguel,471083,Montero Miguel,3364,Blue Jays,2,2,27,22,197,1,1,5.16
Montero,Miguel,471083,Montero Miguel,3364,Cubs,1,2,29,28,215.1,-1,2,4.35
Hundley,Nicholas,460026,Hundley Nick,3376,Giants,1,2,82,65,608.1,-1,-4,4.50
Butera,Andrew,460077,Butera Drew,3411,Royals,1,2,74,43,432,0,-7,5.48
Mathis,Jeffery,425772,Mathis Jeff,3448,Diamondbacks,1,2,58,56,474.2,1,5,3.53
Rivera,Rene,425784,Rivera Rene,3648,Cubs,2,2,19,11,116,-1,0,3.96
Rivera,Rene,425784,Rivera Rene,3648,Mets,1,2,52,48,421.1,-2,0,5.21
Soto,Geovany,434567,Soto Geovany,3707,White Sox,1,2,13,12,108.2,0,-1,2.48
Stewart,Chris,455755,Stewart Chris,3878,Pirates,1,2,48,40,354.2,0,2,4.01
Recker,Anthony,489232,Recker Anthony,4063,Braves,1,2,4,1,13,0,0,9.69
Lobaton,Jose,446653,Lobaton Jose,4243,Nationals,1,2,50,43,376,0,-1,4.48
Wieters,Matthew,446308,Wieters Matt,4298,Nationals,1,2,118,113,1003.2,-2,-4,3.62
Kratz,Erik,456124,Kratz Erik,4403,Yankees,1,2,2,0,2,0,0,13.50
Martin,Russell,431145,Martin Russell,4616,Blue Jays,1,2,83,78,683.2,1,3,4.48
McCann,Brian,435263,McCann Brian,4810,Astros,1,2,95,94,827.1,-2,4,4.36
Hanigan,Ryan,452672,Hanigan Ryan,4952,Rockies,1,2,30,29,257,2,-5,4.03
Vogt,Stephen Guy,519390,Vogt Stephen,5000,A's,1,2,43,36,312,-1,2,5.34
Vogt,Stephen Guy,519390,Vogt Stephen,5000,Brewers,2,2,38,33,273.1,2,1,3.13
Leon,Sandy David,506702,Leon Sandy,5273,Red Sox,1,2,84,77,699.1,0,8,3.44
Cervelli,Francisco,465041,Cervelli Francisco,5275,Pirates,1,2,78,75,645.1,-1,-3,4.28
Gosewisch,James,488912,Gosewisch Tuffy,5277,Mariners,1,2,10,8,76,0,0,4.62
Graterol,Juan,492802,Graterol Juan,5398,Angels,1,2,47,26,245,4,1,4.19
Romine,Austin Allen,519222,Romine Austin,5491,Yankees,1,2,67,58,517.2,0,3,4.22
Higashioka,Kyle,543309,Higashioka Kyle,5517,Yankees,1,2,8,5,48,0,0,3.56
Saltalamacchia,Jarrod,457454,Saltalamacchia Jarrod,5557,Blue Jays,1,2,7,6,52,0,0,5.02
Mesoraco,Devin Douglas,519023,Mesoraco Devin,5666,Reds,1,2,40,37,305.1,0,-3,6.19
Ellis,Andrew,454560,Ellis A.J.,5677,Marlins,1,2,39,36,329,1,-5,4.43
Sucre,Jesus Marcelo,491696,Sucre Jesus,5942,Rays,1,2,61,51,463.1,0,3,4.35
Escobar,Eduardo Jose,500871,Escobar Eduardo,6153,Twins,1,2,1,0,1,0,0,0.00
Norris,Derek,519083,Norris Derek,6867,Rays,1,2,53,52,454,-2,3,3.93
Maldonado,Martin,455117,Maldonado Martin,6887,Angels,1,2,137,131,1146.1,3,12,4.17
Molina,Yadier,425877,Molina Yadier,7007,Cardinals,1,2,133,133,1125.2,1,4,4.02
Jimenez,Antonio,543362,Jimenez A.J.,7077,Rangers,1,2,5,1,20,0,0,4.05
Joseph,Caleb,543376,Joseph Caleb,7087,Orioles,1,2,79,69,621.2,4,2,4.23
Centeno,Juan,518542,Centeno Juan,7168,Astros,1,2,22,15,140.2,-1,-2,3.52
Perez,Salvador,521692,Perez Salvador,7304,Royals,1,2,115,113,941.2,3,-6,4.29
Gimenez,Chris,460269,Gimenez Chris,7324,Twins,1,2,59,54,475.2,-2,0,5.22
Avila,Alex,488671,Avila Alex,7476,Tigers,1,2,50,46,405.1,2,-5,4.84
Avila,Alex,488671,Avila Alex,7476,Cubs,2,2,28,24,209,1,-2,4.13
d'Arnaud,Travis,518595,d'Arnaud Travis,7739,Mets,1,2,93,88,771.1,2,-1,4.80
Lucroy,Jonathan,518960,Lucroy Jonathan,7870,Rangers,1,2,66,65,578,-3,-6,4.75
Lucroy,Jonathan,518960,Lucroy Jonathan,7870,Rockies,2,2,44,43,369.2,0,-4,4.02
Fryer,Eric Joseph,518700,Fryer Eric,8145,Cardinals,1,2,26,15,162.2,0,2,4.04
Suzuki,Kurt,435559,Suzuki Kurt,8259,Braves,1,2,77,71,641.1,2,0,4.49
Iannetta,Christopher,455104,Iannetta Chris,8267,Diamondbacks,1,2,78,70,632.2,0,3,4.03
Pena,Francisco Antonio,506747,Pena Francisco,8298,Orioles,1,2,5,3,26,0,0,3.46
Federowicz,Timothy Joseph,543148,Federowicz Tim,8609,Giants,1,2,6,1,17.1,0,0,3.12
Castro,Jason Michael,488771,Castro Jason,8722,Twins,1,2,108,104,908.2,-1,3,4.18
Lavarnway,Ryan Cole,543432,Lavarnway Ryan,8879,A's,1,2,5,4,35,-1,0,3.34
Flowers,Tyler,452095,Flowers Tyler,9134,Braves,1,2,85,85,745,-3,20,4.88
Posey,Buster,457763,Posey Buster,9166,Giants,1,2,99,96,826.1,-1,3,4.53
Herrmann,Christopher,543302,Herrmann Chris,9284,Diamondbacks,1,2,45,35,317.2,2,-2,3.20
Phegley,Joshua Aaron,572033,Phegley Josh,9308,A's,1,2,56,45,394.2,0,1,4.24
Garneau,Dustin Thomas,572863,Garneau Dustin,9433,A's,2,2,18,15,126,0,-1,3.93
Garneau,Dustin Thomas,572863,Garneau Dustin,9433,Rockies,1,2,22,18,170.2,0,-3,3.64
Gomes,Yan,543228,Gomes Yan,9627,Indians,1,2,103,96,856,2,-2,3.36
Vazquez,Christian,543877,Vazquez Christian,9774,Red Sox,1,2,95,85,771,-1,15,4.05
Stassi,Max Robert,545358,Stassi Max,10059,Astros,1,2,11,6,64.1,0,1,3.92
Telis,Tomas,542513,Telis Tomas,10067,Marlins,1,2,6,1,18,0,0,3.00
Barnhart,Tucker,571466,Barnhart Tucker,10200,Reds,1,2,110,105,926.1,3,-10,4.74
Sanchez,Hector Enrique,516949,Sanchez Hector,10289,Padres,1,2,25,19,163.2,-3,-2,4.73
