Name,Team,G,Inn,A,PB,E,SB,CS,Block,Frame,cERA,Zone Total,playerid,Zone,FI Total,FI,rDW,
Martin Maldonado,Angels,137,1146.1,65,8,2,46,29,3,12,4.17,32.52,6887,16.26,21.26,10.63,26.89,
Yasmani Grandal,Dodgers,117,999.1,54,16,6,44,21,0,12,3.22,34.41,11368,17.20,10.33,5.16,22.37,
Austin Hedges,Padres,115,933.1,56,3,10,45,26,4,13,4.59,25.08,12976,12.54,15.04,7.52,20.06,
Christian Vazquez,Red Sox,95,771,47,11,8,29,21,-1,15,4.05,21.63,9774,10.82,10.63,5.32,16.13,
Yadier Molina,Cardinals,133,1125.2,55,6,7,43,24,1,4,4.02,14.26,7007,7.13,14.89,7.44,14.57,
Roberto Perez,Indians,71,580.2,33,5,2,17,13,2,8,3.22,17.95,2900,8.98,10.56,5.28,14.26,
Yan Gomes,Indians,103,856,60,4,9,33,24,2,-2,3.36,10.09,9627,5.04,18.24,9.12,14.16,
Sandy Leon,Red Sox,84,699.1,42,7,6,31,18,0,8,3.44,17.36,5273,8.68,10.30,5.15,13.83,
Tyler Flowers,Braves,85,745,46,9,5,55,16,-3,20,4.88,17.45,9134,8.73,7.71,3.85,12.58,
Jeff Mathis,Diamondbacks,58,474.2,44,4,3,19,14,1,5,3.53,9.61,3448,4.80,14.90,7.45,12.25,
Manny Pina,Brewers,102,760.1,52,4,6,38,21,2,1,3.80,8.97,2829,4.48,15.14,7.57,12.05,
Buster Posey,Giants,99,826.1,52,1,4,36,22,-1,3,4.53,1.12,9166,.56,17.82,8.91,9.47,
Austin Romine,Yankees,67,517.2,42,4,1,26,3,0,3,4.22,3.51,5491,1.76,12.00,6.00,7.76,
Gary Sanchez,Yankees,104,881,60,16,13,37,23,-5,1,3.45,3.28,11442,1.64,10.68,5.34,6.98,
Chris Iannetta,Diamondbacks,78,632.2,36,5,6,25,8,0,3,4.03,5.73,8267,2.86,7.65,3.82,6.69,
Russell Martin,Blue Jays,83,683.2,41,3,3,48,12,1,3,4.48,3.72,4616,1.86,9.33,4.66,6.52,
Rene Rivera,- - -,71,537.1,35,5,1,26,15,-1,0,3.96,1.55,3648,.78,10.92,5.46,6.24,
