GameId,GameString,GameDate,LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,PrevDayGamesPlayed,G,GS,INN,PO,A,E,DP,TP,PB,FPctP,SB,CS,PKOF,FPctC,Outs,Chances,Zone,FPct,Pivots2B,Cint,Cer,Cera,Efield,Ethrow
,,,Feliz,Neftali,491703,"Feliz Neftali",18,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cedeno,Xavier,458584,"Cedeno Xavier",36,TB,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Blanks,Kyle,452035,"Blanks Kyle",49,SF,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Phillips,Zachary,452061,"Phillips Zach",99,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ford,Darren,452096,"Ford Darren",109,SF,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Lerud,Steven,452722,"Lerud Steven",113,SEA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Worth,Danny,519445,"Worth Danny",198,HOU,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Richardson,Antoan,460322,"Richardson Antoan",209,PIT,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Venable,William,461416,"Venable Will",211,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,McCutchen,Daniel,445216,"McCutchen Daniel",263,SD,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Colon,Bartolo,112526,"Colon Bartolo",375,NYN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Martinez,Victor,400121,"Martinez Victor",393,DET,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Sabathia,Carsten,282332,"Sabathia CC",404,NYA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Rodney,Fernando,407845,"Rodney Fernando",494,MIA,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Grilli,Jason,276351,"Grilli Jason",521,TOR,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Penny,Brad,207267,"Penny Brad",535,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Beltran,Carlos,136860,"Beltran Carlos",589,TEX,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Beltre,Adrian,134181,"Beltre Adrian",639,TEX,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Arencibia,JP,450317,"Arencibia J.P.",697,TB,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Wright,Jamey,124604,"Wright Jamey",715,LAN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ortiz,David,120074,"Ortiz David",745,BOS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pierzynski,Anthony,150229,"Pierzynski A.J.",746,ATL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Frazier,Todd,453943,"Frazier Todd",785,CHA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Phillips,Brandon,408252,"Phillips Brandon",791,CIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Choate,Randy,329092,"Choate Randy",813,LAN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Carroll,Scott,453222,"Carroll Scott",888,TEX,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Boesch,Brennan,453269,"Boesch Brennan",914,BOS,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Byrd,Marlon,407781,"Byrd Marlon",950,CLE,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Arroyo,Bronson,276520,"Arroyo Bronson",978,WAS,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Vogelsong,Ryan,285064,"Vogelsong Ryan",1011,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Peavy,Jacob,408241,"Peavy Jake",1051,SF,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Soriano,Rafael,400089,"Soriano Rafael",1100,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Suzuki,Ichiro,400085,"Suzuki Ichiro",1101,MIA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Estrada,Marco,462136,"Estrada Marco",1118,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Nathan,Joe,150274,"Nathan Joe",1122,SF,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Rivero,Carlos,491640,"Rivero Carlos",1136,ARI,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Williams,Jerome,425532,"Williams Jerome",1137,STL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hunter,Raymond Thomas,488984,"Hunter Tommy",1157,BAL,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Romine,Andrew James,461865,"Romine Andrew",1159,DET,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pujols,Albert,405395,"Pujols Albert",1177,LAA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Johnson,Christopher,453400,"Johnson Chris",1191,MIA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Dickey,R.A.,285079,"Dickey R.A.",1245,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Bush,Matt,456713,"Bush Matt",1246,TEX,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ottavino,Adam,493603,"Ottavino Adam",1247,COL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Lewis,Colby,407890,"Lewis Colby",1259,TEX,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Teixeira,Mark,407893,"Teixeira Mark",1281,NYA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Werth,Jayson,150029,"Werth Jayson",1327,WAS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Beato,Pedro,474039,"Beato Pedro",1330,BAL,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Partch,Curtis,489197,"Partch Curtis",1333,PIT,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Wood,Blake,502028,"Wood Blake",1345,CIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Bailey,Andrew,457732,"Bailey Andrew",1368,LAA,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Furbush,Charlie,518703,"Furbush Charlie",1370,SEA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ramos,Wilson,467092,"Ramos Wilson",1433,WAS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Benoit,Joaquin,276542,"Benoit Joaquin",1437,TOR,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Doubront,Felix,467094,"Doubront Felix",1478,OAK,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Edwards,Jonathan,457754,"Edwards Jon",1483,SD,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Lackey,John,407793,"Lackey John",1507,CHN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Perez,Oliver,424144,"Perez Oliver",1514,WAS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ross,David,424325,"Ross David",1551,CHN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Crisp,Covelli,424825,"Crisp Coco",1572,CLE,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Doolittle,Sean,448281,"Doolittle Sean",1581,OAK,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Rodriguez,Francisco,408061,"Rodriguez Francisco",1642,DET,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Lopez,Javier,425657,"Lopez Javier",1663,SF,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Utley,Chase,400284,"Utley Chase",1679,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Capuano,Christopher,425626,"Capuano Chris",1701,MIL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Reyes,Jose,408314,"Reyes Jose",1736,NYN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Morneau,Justin,408047,"Morneau Justin",1737,CHA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Peralta,Jhonny,425509,"Peralta Jhonny",1738,STL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cabrera,Miguel,408234,"Cabrera Miguel",1744,DET,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Tsao,Chin-hui,425835,"Tsao Chin-hui",1776,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cotts,Neal,425840,"Cotts Neal",1797,TEX,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Quintero,Humberto,279827,"Quintero Humberto",1824,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Barmes,Clint,425549,"Barmes Clint",1830,KC,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Belisle,Matt,279571,"Belisle Matt",1837,WAS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Jackson,Edwin,429719,"Jackson Edwin",1841,SD,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Weeks Jr.,Rickie,430001,"Weeks Jr. Rickie",1849,ARI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Madson,Ryan,425492,"Madson Ryan",1852,OAK,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Mauer,Joe,408045,"Mauer Joe",1857,MIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Holliday,Matthew,407812,"Holliday Matt",1873,STL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Burnett,Sean,430634,"Burnett Sean",1886,WAS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Bautista,Jose,430832,"Bautista Jose",1887,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Moore,Matthew Cody,519043,"Moore Matt",1890,SF,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Aardsma,David,430911,"Aardsma David",1902,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Blanco,Andres,433217,"Blanco Andres",1907,PHI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Gonzalez,Adrian,408236,"Gonzalez Adrian",1908,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Kotchman,Casey,425773,"Kotchman Casey",1930,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Greinke,Zack,425844,"Greinke Zack",1943,ARI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Romero,Deibinson Joel,466480,"Romero Deibinson",1971,NYA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Luebke,Cory Robert,458537,"Luebke Cory",1984,MIA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hefner,Jeremy,458550,"Hefner Jeremy",1989,STL,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Nova,Ivan,467100,"Nova Ivan",1994,PIT,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
