MlbId,FirstName,LastName,FullName,Position,FormerTeam,MiLBAffiliate,Level,,,,,,
656774,Jeremiah,Muhammad,Jeremiah Muhammad,P,ARI,AZL D-backs,RK,,,,,,
625509,Angelo,Almonte,Angelo Almonte,P,ARI,DSL D-backs,DSL,,,,,,
622181,Justin,Chigbogu,Justin Chigbogu,1B,ARI,Hillsboro Hops,Short-A,,,,,,
595129,Tom,Belza,Tom Belza,I,ARI,Mobile BayBears,Double-A,,,,,,
502695,Ryan,Kussmaul,Ryan Kussmaul,P,ARI,Mobile BayBears,Double-A,,,,,,
593450,Luis,Ramirez,Luis Ramirez,P,ARI,Mobile BayBears,Double-A,,,,,,
542335,Robelys,Reyes,Robelys Reyes,3B,ARI,Mobile BayBears,Double-A,,,,,,
593662,Jency,Solis,Jency Solis,P,ARI,Mobile BayBears,Double-A,,,,,,
434438,Billy,Buckner,Billy Buckner,P,ARI,Mobile BayBears,Double-A,,,,,,
519221,Dan,Rohlfing,Dan Rohlfing,C,ARI,Reno Aces,Triple-A,,,,,,
501936,Matt,Buschmann,Matt Buschmann,P,ARI,Reno Aces,Triple-A,,,,,,
468539,Edgar,Garcia,Edgar Garcia,P,ARI,Reno Aces,Triple-A,,,,,,
571772,Hector,Hernandez,Hector Hernandez,P,ARI,Reno Aces,Triple-A,,,,,,
607587,Cole,Johnson,Cole Johnson,P,ARI,Reno Aces,Triple-A,,,,,,
491640,Carlos,Rivero,Carlos Rivero,3B,ARI,Reno Aces,Triple-A,,,,,,
502620,Mark,Thomas,Mark Thomas,C,ARI,Reno Aces,Triple-A,,,,,,
657516,Palmer,Betts,Palmer Betts,P,ARI,Visalia Rawhide,High-A,,,,,,
594959,Blake,Perry,Blake Perry,P,ARI,Visalia Rawhide,High-A,,,,,,
602929,Markus,Solbach,Markus Solbach,P,ARI,Visalia Rawhide,High-A,,,,,,
429400,Adam,Loewen,Adam Loewen,P,ARI,Gwinnett Braves,Triple-A,,,,,,
517014,Victor,Mateo,Victor Mateo,P,ATL,Gwinnett Braves,Triple-A,,,,,,
115832,Roberto,Hernandez,Roberto Hernandez,P,ATL,Gwinnett Braves,Triple-A,,,,,,
542989,Bobby,Bundy,Bobby Bundy,P,BAL,Bowie Baysox,Double-A,,,,,,
601973,Genison,Reyes,Genison Reyes,P,BAL,Bowie Baysox,Double-A,,,,,,
592723,Wynston,Sawyer,Wynston Sawyer,C,BAL,Bowie Baysox,Double-A,,,,,,
594976,David,Richardson,David Richardson,P,BAL,Bowie Baysox,Double-A,,,,,,
593440,Janser,Severino,Janser Severino,P,BAL,Delmarva Shorebirds,Low-A,,,,,,
593961,Ronarsy,Ledesma,Ronarsy Ledesma,1B,BAL,Delmarva Shorebirds,Low-A,,,,,,
593443,Ivan,Hernandez,Ivan Hernandez,P,BAL,Frederick Keys,High-A,,,,,,
595275,Zach,Kapstein,Zach Kapstein,C,BAL,Frederick Keys,High-A,,,,,,
543377,Corban,Joseph,Corban Joseph,DH,BAL,Norfolk Tides,Triple-A,,,,,,
516664,Garabez,Rosa,Garabez Rosa,2B,BAL,Norfolk Tides,Triple-A,,,,,,
527031,Michael,Almanzar,Michael Almanzar,3B,BAL,Norfolk Tides,Triple-A,,,,,,
542897,Xavier,Avery,Xavier Avery,CF,BAL,Norfolk Tides,Triple-A,,,,,,
521009,Zach,Booker,Zach Booker,C,BAL,Norfolk Tides,Triple-A,,,,,,
518631,Terry,Doyle,Terry Doyle,P,BAL,Norfolk Tides,Triple-A,,,,,,
463748,Sharlon,Schoop,Sharlon Schoop,SS,BAL,Norfolk Tides,Triple-A,,,,,,
446185,Logan,Ondrusek,Logan Ondrusek,P,BAL,Norfolk Tides,Triple-A,,,,,,
444444,Mitch,Atkins,Mitch Atkins,P,BOS,Pawtucket Red Sox,Triple-A,,,,,,
592656,Henry,Ramos,Henry Ramos,CF,BOS,Pawtucket Red Sox,Triple-A,,,,,,
501731,Rainel,Rosario,Rainel Rosario,LF,BOS,Pawtucket Red Sox,Triple-A,,,,,,
455378,Ali,Solis,Ali Solis,C,BOS,Pawtucket Red Sox,Triple-A,,,,,,
576788,Dan,Butler,Dan Butler,C,BOS,Pawtucket Red Sox,Triple-A,,,,,,
592228,Keith,Couch,Keith Couch,P,BOS,Pawtucket Red Sox,Triple-A,,,,,,
592242,Jacob,Dahlstrand,Jacob Dahlstrand,P,BOS,Portland Sea Dogs,Double-A,,,,,,
593416,Mario,Alcantara,Mario Alcantara,P,BOS,Salem Red Sox,High-A,,,,,,
606242,Carlos,Mesa,Carlos Mesa,RF,BOS,Salem Red Sox,High-A,,,,,,
593427,David,Sopilka,David Sopilka,C,BOS,Salem Red Sox,High-A,,,,,,
457711,Sean,O'Sullivan,Sean O'Sullivan,P,BOS,Pawtucket Red Sox,Triple-A,,,,,,
571765,Matt,Heidenreich,Matt Heidenreich,P,CHA,Birmingham Barons,Double-A,,,,,,
570670,Eudy,Pina,Eudy Pina,RF,CHA,Birmingham Barons,Double-A,,,,,,
592675,Josh,Richmond,Josh Richmond,RF,CHA,Birmingham Barons,Double-A,,,,,,
571857,Colin,Kleven,Colin Kleven,P,CHA,Birmingham Barons,Double-A,,,,,,
594631,Euclides,Leyer,Euclides Leyer,P,CHA,Birmingham Barons,Double-A,,,,,,
502017,Marcus,Lemon,Marcus Lemon,LF,CHA,Charlotte Knights,Triple-A,,,,,,
571896,Matt,Lollis,Matt Lollis,P,CHA,Charlotte Knights,Triple-A,,,,,,
593439,Miguel,Chalas,Miguel Chalas,P,CHA,Charlotte Knights,Triple-A,,,,,,
448170,Travis,Ishikawa,Travis Ishikawa,DH,CHA,Charlotte Knights,Triple-A,,,,,,
434180,Kameron,Loe,Kameron Loe,P,CHA,Charlotte Knights,Triple-A,,,,,,
612808,Yojensy,Arias,Yojensy Arias,P,CHA,DSL White Sox,DSL,,,,,,
642527,Joselo,Pinales,Joselo Pinales,P,CHA,DSL White Sox,DSL,,,,,,
543742,Jerry,Sands,Jerry Sands,OF,CHA,Charlotte Knights,Triple-A,,,,,,
607477,Cole,Brocker,Cole Brocker,P,CHN,AZL Cubs,RK,,,,,,
571679,David,Freitas,David Freitas,C,CHN,Iowa Cubs,Triple-A,,,,,,
542225,Starling,Peralta,Starling Peralta,P,CHN,Iowa Cubs,Triple-A,,,,,,
488683,Scott,Barnes,Scott Barnes,P,CHN,Iowa Cubs,Triple-A,,,,,,
570233,Frank,Batista,Frank Batista,,CHN,Iowa Cubs,Triple-A,,,,,,
543155,Stephen,Fife,Stephen Fife,P,CHN,Iowa Cubs,Triple-A,,,,,,
531565,Miguel,Mejia,Miguel Mejia,,CHN,Iowa Cubs,Triple-A,,,,,,
444875,Matt,Murton,Matt Murton,RF,CHN,Iowa Cubs,Triple-A,,,,,,
543633,Juan ,Perez,Juan  Perez,LF,CHN,Iowa Cubs,Triple-A,,,,,,
543894,Logan,Watkins,Logan Watkins,2B,CHN,Iowa Cubs,Triple-A,,,,,,
571633,Kelly,Dugan,Kelly Dugan,,CHN,Tennessee Smokies,Double-A,,,,,,
501888,Ryan,Kalish,Ryan Kalish,OF,CHN,Iowa Cubs,Triple-A,,,,,,
543643,Jonathan,Pettibone,Jonathan Pettibone,P,CHN,Tennessee Smokies,Double-A,,,,,,
594781,Ben,Carhart,Ben Carhart,C,CHN,Tennessee Smokies,Double-A,,,,,,
615694,Jesse,Hodges,Jesse Hodges,3B,CHN,Myrtle Beach Pelicans,High-A,,,,,,
605353,Vimael,Machin,Vimael Machin,SS,CHN,South Bend Cubs,Low-A,,,,,,
543070,Aaron,Crow,Aaron Crow,P,CHN,AZL Cubs,RK,,,,,,
425664,Shane,Victorino,Shane Victorino,O,CHN,Iowa Cubs,Triple-A,,,,,,
544371,Donald,Lutz,Donald Lutz,1B,CIN,Louisville Bats,Triple-A,,,,,,
534592,Chris,Berset,Chris Berset,C,CIN,Louisville Bats,Triple-A,,,,,,
490675,Ray,Chang,Ray Chang,SS,CIN,Louisville Bats,Triple-A,,,,,,
