Date,BAL,BOS,CHA,CLE,DET,HOU,KC,LAA,MIN,NYA,OAK,SEA,TB,TEX,TOR,ARI,ATL,CHN,CIN,COL,LAN,MIA,MIL,NYN,PHI,PIT,SD,SF,STL,WSH
5-Apr,,,,,,,,,,@TB,,,NYA,,,SF,,@STL,,,,,,,,,,@ARI,CHN,
6-Apr,TOR,PIT,DET,@TEX,@CHA,SEA,@MIN,@OAK,KC,,LAA,@HOU,,CLE,@BAL,,@NYN,,PHI,@MIL,SD,@WSH,COL,ATL,@CIN,@BOS,@LAN,,,MIA
7-Apr,,,DET,@TEX,@CHA,SEA,,@OAK,,@TB,LAA,@HOU,NYA,CLE,,SF,,@STL,,@MIL,SD,,COL,,,,@LAN,@ARI,CHN,
8-Apr,TOR,PIT,DET,@TEX,@CHA,SEA,@MIN,@OAK,KC,@TB,LAA,@HOU,NYA,CLE,@BAL,SF,@NYN,@STL,PHI,@MIL,SD,@WSH,COL,ATL,@CIN,@BOS,@LAN,@ARI,CHN,MIA
9-Apr,,PIT,DET,,@CHA,SEA,@MIN,@OAK,KC,,LAA,@HOU,TOR,,@TB,SF,@NYN,@STL,PHI,@MIL,SD,@WSH,COL,ATL,@CIN,@BOS,@LAN,@ARI,CHN,MIA
10-Apr,NYA,@DET,MIN,@ARI,BOS,KC,@HOU,SEA,@CHA,@BAL,@TEX,@LAA,TOR,OAK,@TB,CLE,@PIT,@MIL,@STL,LAN,@COL,@NYN,CHN,MIA,WSH,ATL,SF,@SD,CIN,@PHI
11-Apr,NYA,@DET,MIN,@ARI,BOS,KC,@HOU,SEA,@CHA,@BAL,@TEX,@LAA,TOR,OAK,@TB,CLE,@PIT,@MIL,@STL,LAN,@COL,@NYN,CHN,MIA,WSH,ATL,SF,@SD,CIN,@PHI
12-Apr,NYA,@DET,MIN,@ARI,BOS,KC,@HOU,SEA,@CHA,@BAL,@TEX,@LAA,TOR,OAK,@TB,CLE,@PIT,@MIL,@STL,LAN,@COL,@NYN,CHN,MIA,WSH,ATL,SF,@SD,CIN,@PHI
13-Apr,,@DET,,,BOS,@SEA,OAK,,,TB,@KC,HOU,@NYA,,,@SF,,LAN,@PIT,SD,@CHN,,,@PHI,NYN,CIN,@COL,ARI,@WSH,STL
14-Apr,@BOS,BAL,@CLE,CHA,MIN,@SEA,,TEX,@DET,,,HOU,,@LAA,MIL,@SF,@MIA,,@PIT,SD,,ATL,@TOR,@PHI,NYN,CIN,@COL,ARI,@WSH,STL
15-Apr,@BOS,BAL,@CLE,CHA,MIN,@SEA,OAK,TEX,@DET,TB,@KC,HOU,@NYA,@LAA,MIL,@SF,@MIA,LAN,@PIT,SD,@CHN,ATL,@TOR,@PHI,NYN,CIN,@COL,ARI,@WSH,STL
16-Apr,@TOR,PIT,@CLE,CHA,MIN,,OAK,TEX,@DET,TB,@KC,,@NYA,@LAA,BAL,,,LAN,MIL,@SF,@CHN,NYN,@CIN,@MIA,,@BOS,,COL,,
17-Apr,@TOR,TB,@MIN,DET,@CLE,@OAK,LAA,@KC,CHA,STL,HOU,TEX,@BOS,@SEA,BAL,@LAN,SD,PIT,MIL,@SF,ARI,NYN,@CIN,@MIA,@WSH,@CHN,@ATL,COL,@NYA,PHI
18-Apr,@TOR,TB,@MIN,DET,@CLE,@OAK,LAA,@KC,CHA,STL,HOU,TEX,@BOS,@SEA,BAL,@LAN,SD,PIT,MIL,@SF,ARI,NYN,@CIN,@MIA,@WSH,@CHN,@ATL,COL,@NYA,PHI
19-Apr,@TOR,TB,@MIN,DET,@CLE,@OAK,LAA,@KC,CHA,STL,HOU,TEX,@BOS,@SEA,BAL,@LAN,SD,PIT,MIL,@SF,ARI,NYN,@CIN,@MIA,@WSH,@CHN,@ATL,COL,@NYA,PHI
20-Apr,,TB,@NYA,@MIN,,LAA,,@HOU,CLE,CHA,TEX,MIA,@BOS,@OAK,,@LAN,SD,MIL,,,ARI,@SEA,@CHN,,,@STL,@ATL,,PIT,
21-Apr,@CIN,@TOR,@NYA,@MIN,@TB,LAA,SF,@HOU,CLE,CHA,TEX,MIA,DET,@OAK,BOS,@SD,WSH,MIL,BAL,@LAN,COL,@SEA,@CHN,PHI,@NYN,@STL,ARI,@KC,PIT,@ATL
22-Apr,@CIN,@TOR,@NYA,@MIN,@TB,LAA,SF,@HOU,CLE,CHA,TEX,MIA,DET,@OAK,BOS,@SD,WSH,MIL,BAL,@LAN,COL,@SEA,@CHN,PHI,@NYN,@STL,ARI,@KC,PIT,@ATL
23-Apr,@CIN,@TOR,,@MIN,@TB,LAA,@TEX,@HOU,CLE,,SEA,@OAK,DET,KC,BOS,@SD,WSH,,BAL,,,,STL,PHI,@NYN,,ARI,,@MIL,@ATL
24-Apr,BOS,@BAL,CLE,@CHA,@MIN,@TB,@TEX,TOR,DET,@PIT,SEA,@OAK,HOU,KC,@LAA,LAN,@PHI,@CIN,CHN,SF,@ARI,@SD,STL,WSH,ATL,NYA,MIA,@COL,@MIL,@NYN
25-Apr,BOS,@BAL,CLE,@CHA,@MIN,@TB,@TEX,TOR,DET,@PIT,SEA,@OAK,HOU,KC,@LAA,LAN,@PHI,@CIN,CHN,SF,@ARI,@SD,STL,WSH,ATL,NYA,MIA,@COL,@MIL,@NYN
26-Apr,BOS,@BAL,CLE,@CHA,@MIN,@TB,@TEX,TOR,DET,@PIT,SEA,@OAK,HOU,KC,@LAA,LAN,@PHI,@CIN,CHN,SF,@ARI,@SD,STL,WSH,ATL,NYA,MIA,@COL,@MIL,@NYN
27-Apr,TB,,KC,,,,@CHA,TOR,@TEX,,,,@BAL,MIN,@LAA,SD,,@PIT,@MIL,WSH,@SF,,CIN,,,CHN,@ARI,LAN,,@COL
28-Apr,TB,NYA,KC,HOU,SEA,@CLE,@CHA,OAK,@TEX,@BOS,@LAA,@DET,@BAL,MIN,@STL,SD,@NYN,@PIT,@MIL,WSH,@SF,@PHI,CIN,ATL,MIA,CHN,@ARI,LAN,TOR,@COL
29-Apr,TB,NYA,KC,HOU,SEA,@CLE,@CHA,OAK,@TEX,@BOS,@LAA,@DET,@BAL,MIN,@STL,SD,@NYN,@PIT,@MIL,WSH,@SF,@PHI,CIN,ATL,MIA,CHN,@ARI,LAN,TOR,@COL
30-Apr,,NYA,,HOU,SEA,@CLE,,OAK,,@BOS,@LAA,@DET,,,@STL,SD,@NYN,,,WSH,@SF,@PHI,,ATL,MIA,,@ARI,LAN,TOR,@COL
1-May,@NYA,CHN,@DET,SEA,CHA,OAK,MIN,@TEX,@KC,BAL,@HOU,@CLE,@TOR,LAA,TB,COL,@MIL,@BOS,@STL,@ARI,PHI,PIT,ATL,@WSH,@LAN,@MIA,@SF,SD,CIN,NYN
2-May,@NYA,CHN,@DET,SEA,CHA,OAK,MIN,@TEX,@KC,BAL,@HOU,@CLE,@TOR,LAA,TB,COL,@MIL,@BOS,@STL,@ARI,PHI,PIT,ATL,@WSH,@LAN,@MIA,@SF,SD,CIN,NYN
3-May,@NYA,CHN,@DET,SEA,CHA,OAK,MIN,@TEX,@KC,BAL,@HOU,@CLE,@TOR,LAA,TB,COL,@MIL,@BOS,@STL,@ARI,PHI,PIT,ATL,@WSH,@LAN,@MIA,@SF,SD,CIN,NYN
4-May,@BOS,BAL,@KC,@DET,CLE,TEX,CHA,,,TOR,,,@MIA,@HOU,@NYA,,NYN,PHI,PIT,,SF,TB,@STL,@ATL,@CHN,@CIN,,@LAN,MIL,
5-May,@BOS,BAL,@KC,@DET,CLE,TEX,CHA,@SEA,OAK,TOR,@MIN,LAA,@MIA,@HOU,@NYA,@WSH,NYN,PHI,PIT,@SD,SF,TB,@STL,@ATL,@CHN,@CIN,COL,@LAN,MIL,ARI
6-May,@BOS,BAL,@KC,@DET,CLE,TEX,CHA,@SEA,OAK,TOR,@MIN,LAA,MIA,@HOU,@NYA,@WSH,NYN,PHI,PIT,@SD,SF,@TB,@STL,@ATL,@CHN,@CIN,COL,@LAN,MIL,ARI
7-May,@BOS,BAL,@KC,@DET,CLE,TEX,CHA,@SEA,OAK,,@MIN,LAA,MIA,@HOU,,@WSH,NYN,PHI,PIT,@SD,,@TB,@STL,@ATL,@CHN,@CIN,COL,,MIL,ARI
8-May,CHA,@MIN,@BAL,@KC,@OAK,@LAA,CLE,HOU,BOS,@CHN,DET,TEX,TOR,@SEA,@TB,@COL,STL,NYA,SF,ARI,@SD,@NYN,@PIT,MIA,WSH,MIL,LAN,@CIN,@ATL,@PHI
9-May,CHA,@MIN,@BAL,@KC,@OAK,@LAA,CLE,HOU,BOS,@CHN,DET,TEX,TOR,@SEA,@TB,@COL,STL,NYA,SF,ARI,@SD,@NYN,@PIT,MIA,WSH,MIL,LAN,@CIN,@ATL,@PHI
10-May,CHA,@MIN,@BAL,@KC,@OAK,@LAA,CLE,HOU,BOS,@CHN,DET,TEX,TOR,@SEA,@TB,@COL,STL,NYA,SF,ARI,@SD,@NYN,@PIT,MIA,WSH,MIL,LAN,@CIN,@ATL,@PHI
11-May,WSH,,,@TOR,,,@TB,@OAK,,@CIN,LAA,,KC,@SD,CLE,,,@COL,NYA,CHN,PIT,STL,,SF,,@LAN,TEX,@NYN,@MIA,@BAL
12-May,WSH,@MIL,MIN,@TOR,@ARI,ATL,@TB,@OAK,@CHA,@CIN,LAA,@PHI,KC,@SD,CLE,DET,@HOU,@COL,NYA,CHN,PIT,STL,BOS,SF,SEA,@LAN,TEX,@NYN,@MIA,@BAL
13-May,@WSH,@MIL,MIN,@TOR,@ARI,ATL,@TB,@OAK,@CHA,,LAA,@PHI,KC,SD,CLE,DET,@HOU,@COL,,CHN,PIT,STL,BOS,SF,SEA,@LAN,@TEX,@NYN,@MIA,BAL
14-May,@WSH,@MIL,MIN,,@LAA,@NYA,@TB,DET,@CHA,HOU,,@TOR,KC,SD,SEA,PIT,,,@SF,LAN,@COL,,BOS,,,@ARI,@TEX,CIN,,BAL
15-May,@KC,TB,SD,MIN,@LAA,@NYA,BAL,DET,@CLE,HOU,@TEX,@TOR,@BOS,OAK,SEA,PIT,@MIA,@STL,@SF,LAN,@COL,ATL,NYN,@MIL,@WSH,@ARI,@CHA,CIN,CHN,PHI
16-May,@KC,TB,SD,MIN,@LAA,@NYA,BAL,DET,@CLE,HOU,@TEX,@TOR,@BOS,OAK,SEA,PIT,@MIA,@STL,@SF,LAN,@COL,ATL,NYN,@MIL,@WSH,@ARI,@CHA,CIN,CHN,PHI
17-May,@KC,TB,SD,MIN,@LAA,@NYA,BAL,DET,@CLE,HOU,@TEX,@TOR,@BOS,OAK,SEA,PIT,@MIA,@STL,@SF,LAN,@COL,ATL,NYN,@MIL,@WSH,@ARI,@CHA,CIN,CHN,PHI
18-May,,,@LAA,TB,,@MIA,,CHA,,,@SEA,OAK,@CLE,,ATL,NYN,@TOR,,,,@SF,HOU,@SD,@ARI,,,MIL,LAN,,
19-May,@DET,@STL,@LAA,TB,BAL,@MIA,NYA,CHA,COL,@KC,@SEA,OAK,@CLE,PHI,ATL,NYN,@TOR,CIN,@CHN,@MIN,@SF,HOU,@SD,@ARI,@TEX,WSH,MIL,LAN,BOS,@PIT
20-May,@DET,@STL,@LAA,TB,BAL,@MIA,NYA,CHA,COL,@KC,@SEA,OAK,@CLE,PHI,@ATL,NYN,TOR,CIN,@CHN,@MIN,@SF,HOU,@SD,@ARI,@TEX,WSH,MIL,LAN,BOS,@PIT
21-May,@DET,@OAK,@SEA,,BAL,,NYA,,COL,@KC,BOS,CHA,,PHI,@ATL,,TOR,CIN,@CHN,@MIN,MIA,@LAN,@SD,,@TEX,WSH,MIL,,,@PIT
22-May,TOR,@OAK,@SEA,@HOU,TEX,CLE,@MIN,@NYN,KC,@TB,BOS,CHA,NYA,@DET,@BAL,@SD,WSH,MIL,COL,@CIN,MIA,@LAN,@CHN,LAA,@PIT,PHI,ARI,@STL,SF,@ATL
